Gaussian Function_0_0,x + tan(x),tensor(0.1150),-58.27104947249592
Gaussian Function_24_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928140df0>>
Gaussian Function_24_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928140940>>
Gaussian Function_24_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928140cd0>>
Gaussian Function_24_91,x + asinh(x)/x,tensor(0.2426),-8.748472481090513
Gaussian Function_24_92,sin(4*x + 4),tensor(0.1626),-25.530673765593992
Gaussian Function_24_93,sinh(x + 4),tensor(0.0056),-31209.34433384275
Gaussian Function_24_94,2*x*asinh(2*x),tensor(0.1504),-30.923505752783367
Gaussian Function_24_95,x**2/cos(x),tensor(0.2149),-12.352637933702802
Gaussian Function_24_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699810ebe0>>
Gaussian Function_24_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300389a0>>
Gaussian Function_24_98,sqrt(x)*sin(1) + 2*x,tensor(0.),0
Gaussian Function_24_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69983772b0>>
Gaussian Function_24_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f431c0>>
Gaussian Function_24_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43c40>>
Gaussian Function_24_102,x*(-3*x + cos(x)),tensor(0.0935),-92.9270138079808
Gaussian Function_24_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692817c430>>
Gaussian Function_24_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e018c3d0>>
Gaussian Function_24_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e018cdf0>>
Gaussian Function_24_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900d83a0>>
Gaussian Function_24_107,x + 2/x,tensor(0.0038),-67099.54725765577
Gaussian Function_24_108,x**4 + x + tanh(x),tensor(0.1356),-39.64127658284586
Gaussian Function_24_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900aefd0>>
Gaussian Function_24_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692808eb80>>
Gaussian Function_24_111,-x + exp(x),tensor(0.2623),-6.90936015695704
Gaussian Function_24_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1ce940>>
Gaussian Function_24_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b27c6910>>
Gaussian Function_24_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b27c60a0>>
Gaussian Function_24_115,sqrt(x) + x,tensor(0.),0
Gaussian Function_24_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d8bc40>>
Gaussian Function_24_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c730>>
Gaussian Function_24_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0156610>>
Gaussian Function_24_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990194160>>
Gaussian Function_24_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c9d0>>
Gaussian Function_24_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300bb1f0>>
Gaussian Function_24_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300bb760>>
Gaussian Function_24_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300bb340>>
Gaussian Function_24_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300bbd60>>
Gaussian Function_24_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930143a00>>
Gaussian Function_24_126,x**6/10,tensor(0.2103),-13.095182743229769
Gaussian Function_24_127,exp(sqrt(x)),tensor(0.),0
Gaussian Function_25_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580fc0d0>>
Gaussian Function_25_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f693016dd90>>
Gaussian Function_25_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692808e070>>
Gaussian Function_25_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699815ac10>>
Gaussian Function_25_4,x/2,tensor(0.1963),-15.753126685327821
Gaussian Function_25_5,4*x + 2,tensor(0.0717),-166.45657671229534
Gaussian Function_25_6,x + asinh(x + 3),tensor(0.1346),-40.30872232326824
Gaussian Function_25_7,x*atan(2),tensor(0.1661),-24.196565405414535
Gaussian Function_25_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e00250d0>>
Gaussian Function_25_9,x**2/sin(x),tensor(0.1659),-24.264594908302378
Gaussian Function_25_10,sqrt(3)*x**2,tensor(0.2159),-12.193907196938422
Gaussian Function_25_11,x*(2*x**2 + x),tensor(0.1691),-23.148162922925493
Gaussian Function_25_12,x**2*exp(4),tensor(0.0082),-14498.754468008276
Gaussian Function_25_13,atan(x)/x,tensor(0.4801),-0.1725561877293631
Gaussian Function_25_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25620a0>>
Gaussian Function_25_15,exp(3*x)/3,tensor(0.1059),-70.24747970263546
Gaussian Function_25_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981c8130>>
Gaussian Function_25_17,(x + sin(x))**2,tensor(0.1314),-42.699555545197995
Gaussian Function_25_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930102040>>
Gaussian Function_25_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692804a5e0>>
Gaussian Function_25_20,log(x)**3,tensor(0.),0
Gaussian Function_25_21,(x + cos(x))/x**2,tensor(3.1687e-05),-995897200.3544354
Gaussian Function_25_22,x**2 + asin(x),tensor(0.1773),-20.52740807471396
Gaussian Function_25_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930143640>>
Gaussian Function_25_24,sqrt(x + 3),tensor(0.1670),-23.86571389283524
Gaussian Function_25_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930143c40>>
Gaussian Function_25_26,x*sqrt(x + 3),tensor(0.1408),-36.25712311219352
Gaussian Function_25_27,-x + x*log(4),tensor(0.2007),-14.854940867235515
Gaussian Function_25_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928129d90>>
Gaussian Function_25_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1cedc0>>
Gaussian Function_25_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281f53d0>>
Gaussian Function_25_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b0af0>>
Gaussian Function_25_32,acosh(x),tensor(0.),0
Gaussian Function_25_33,x**4,tensor(0.2233),-11.102869067294122
Gaussian Function_25_34,2*x*(x + 1),tensor(0.1265),-46.67685232927065
Gaussian Function_25_35,sin(x) - cos(x),tensor(0.1057),-70.57371367590748
Gaussian Function_25_36,x*(2*x**4 + x),tensor(0.1879),-17.67849800322015
Gaussian Function_25_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900fd160>>
Gaussian Function_25_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc596160>>
Gaussian Function_25_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990069fa0>>
Gaussian Function_25_40,4*x*sin(x),tensor(0.1319),-42.29459266161449
Gaussian Function_25_41,-x*(x + sin(x)),tensor(0.1235),-49.342027530427565
Gaussian Function_25_42,x*(x**2 + x),tensor(0.2139),-12.513992612855942
Gaussian Function_25_43,x*(x + 2) + x,tensor(0.0980),-83.77948524891528
Gaussian Function_25_44,-sin(x - 1),tensor(0.4013),-1.226414770094129
Gaussian Function_25_45,x - acosh(x),tensor(0.),0
Gaussian Function_25_46,log(2)/x,tensor(0.0110),-8046.471362350666
Gaussian Function_25_47,x**2 + cosh(sqrt(x)),tensor(0.),0
Gaussian Function_25_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692804a400>>
Gaussian Function_25_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699822d820>>
Gaussian Function_25_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e00257c0>>
Gaussian Function_25_51,-19/x,tensor(0.0004),-6050249.961032528
Gaussian Function_25_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f802c070>>
Gaussian Function_25_53,x + sin(x) + 5,tensor(0.0443),-464.8426395980933
Gaussian Function_25_54,2*x*(x + sin(x)),tensor(0.1239),-48.9882778946726
Gaussian Function_25_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930143bb0>>
Gaussian Function_25_56,x*atan(3),tensor(0.1588),-27.055668337018965
Gaussian Function_25_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692817cac0>>
Gaussian Function_25_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc596400>>
Gaussian Function_25_59,4*x**2,tensor(0.1167),-56.24496436692031
Gaussian Function_25_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4d00>>
Gaussian Function_25_61,cosh(5*x),tensor(0.0087),-13126.497939053985
Gaussian Function_25_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4160>>
Gaussian Function_25_63,x**5/255,tensor(0.2085),-13.413967271100198
Gaussian Function_25_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc550be0>>
Gaussian Function_25_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc550f40>>
Gaussian Function_25_66,cos(x)**2,tensor(0.8695),0.9774591932460602
Gaussian Function_25_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c580>>
Gaussian Function_25_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c400>>
Gaussian Function_25_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818cfd0>>
Gaussian Function_25_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c790>>
Gaussian Function_25_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818cfa0>>
Gaussian Function_25_72,2*x - 1/2,tensor(0.1042),-72.9227828150713
Gaussian Function_25_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928140d60>>
Gaussian Function_25_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928140910>>
Gaussian Function_25_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281406a0>>
Gaussian Function_25_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928140550>>
Gaussian Function_25_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1d3e20>>
Gaussian Function_25_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1d3820>>
Gaussian Function_25_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990075580>>
Gaussian Function_25_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900758e0>>
Gaussian Function_25_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900752b0>>
Gaussian Function_25_82,tanh(x)**2,tensor(0.2426),-8.742353932336215
Gaussian Function_25_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900756d0>>
Gaussian Function_25_84,3*x/2,tensor(0.1465),-32.93379322393585
Gaussian Function_25_85,-3/x**2,tensor(1.0563e-05),-8962938880.286596
Gaussian Function_25_86,-x + x*log(2),tensor(0.2050),-14.040468178130958
Gaussian Function_25_87,x*sin(2*x) + cos(2*x),tensor(0.5441),0.29792134816281346
Gaussian Function_25_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc48a0a0>>
Gaussian Function_25_89,exp(x) + 2*atan(x),tensor(0.1055),-70.82381454097724
Gaussian Function_25_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc07ff40>>
Gaussian Function_25_91,x*(x + 9),tensor(0.0368),-683.3145481452981
Gaussian Function_25_92,-x + acos(x),tensor(0.1148),-58.48363183740774
Gaussian Function_25_93,x + sqrt(x + 3),tensor(0.1413),-35.93283446733298
Gaussian Function_25_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69985511f0>>
Gaussian Function_25_95,-2*x,tensor(0.1276),-45.72257822922468
Gaussian Function_25_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930187fa0>>
Gaussian Function_25_97,2*x*tan(2),tensor(0.0710),-170.3277560451963
Gaussian Function_25_98,x**5*cos(1),tensor(0.2043),-14.164363892908789
Gaussian Function_25_99,log(6*x),tensor(0.),0
Gaussian Function_25_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6d5e20>>
Gaussian Function_25_101,2*x*tan(sqrt(x)),tensor(0.),0
Gaussian Function_25_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699810e9d0>>
Gaussian Function_25_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581ee970>>
Gaussian Function_25_104,x**4/4,tensor(0.2151),-12.320674474723276
Gaussian Function_25_105,exp(x) + tan(x),tensor(0.1198),-52.933828299306384
Gaussian Function_25_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692817ce20>>
Gaussian Function_25_107,4*x + sin(x),tensor(0.0635),-216.27131113742405
Gaussian Function_25_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900fd3d0>>
Gaussian Function_25_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016f880>>
Gaussian Function_25_110,exp(x) + tan(x),tensor(0.1198),-52.933828299306384
Gaussian Function_25_111,sinh(2*x + 3),tensor(0.0079),-15856.397160347433
Gaussian Function_25_112,sin(3*x)/3,tensor(0.2002),-14.967218057900432
Gaussian Function_25_113,sin(3*x)/3,tensor(0.2002),-14.967218057900432
Gaussian Function_25_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301be520>>
Gaussian Function_25_115,tanh(x) + 1,tensor(0.2587),-7.211769803750801
Gaussian Function_25_116,x**3*cos(1),tensor(0.2019),-14.62584852277044
Gaussian Function_25_117,12*x*atan(x),tensor(0.0465),-420.03702791520084
Gaussian Function_25_118,log(x) - 1/(2*x**2),tensor(0.),0
Gaussian Function_25_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc195130>>
Gaussian Function_25_120,sinh(x)**2,tensor(0.2300),-10.202110309289457
Gaussian Function_25_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692817c340>>
Gaussian Function_25_122,3*x,tensor(0.0949),-89.95670069916945
Gaussian Function_25_123,x + exp(x) + 2,tensor(0.0694),-178.6281619007053
Gaussian Function_25_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930143190>>
Gaussian Function_25_125,1/8,tensor(0.),0
Gaussian Function_25_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990194ee0>>
Gaussian Function_25_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928140fd0>>
Gaussian Function_26_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2cb7820>>
Gaussian Function_26_1,x**2,tensor(0.2400),-9.025689005438945
Gaussian Function_26_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990194340>>
Gaussian Function_26_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69985518b0>>
Gaussian Function_26_4,-x*cos(x - 1),tensor(0.1657),-24.36872194383958
Gaussian Function_26_5,x + log(x)/x,tensor(0.),0
Gaussian Function_26_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280ee1f0>>
Gaussian Function_26_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280eec10>>
Gaussian Function_26_8,x**2 + 3*x + asin(x),tensor(0.0743),-154.06669315964473
Gaussian Function_26_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43430>>
Gaussian Function_26_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43df0>>
Gaussian Function_26_11,sin(x) + cos(x),tensor(0.2743),-5.9964937875793956
Gaussian Function_26_12,-4*log(cos(x)),tensor(0.1820),-19.207605192512123
Gaussian Function_26_13,2*x - log(x),tensor(0.),0
Gaussian Function_26_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2562460>>
Gaussian Function_26_15,6*x**2 + x,tensor(0.0768),-143.30995775084423
Gaussian Function_26_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6d50d0>>
Gaussian Function_26_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b0130>>
Gaussian Function_26_18,x*atan(x) - x,tensor(0.1905),-17.05870785806653
Gaussian Function_26_19,2/(x + 3),tensor(0.4254),-0.8237440440213424
Gaussian Function_26_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc64dc10>>
Gaussian Function_26_21,(-x + exp(x))/x**2,tensor(3.1688e-05),-995854229.7817575
Gaussian Function_26_22,-2*x**3/3,tensor(0.2010),-14.791831206913715
Gaussian Function_26_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699829a340>>
Gaussian Function_26_24,2*x - cos(x),tensor(0.0912),-98.40120235160308
Gaussian Function_26_25,1/(6*x),tensor(0.0438),-474.4730438795101
Gaussian Function_26_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2823e80>>
Gaussian Function_26_27,-x + cos(x),tensor(0.2519),-7.820562019425049
Gaussian Function_26_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e018c880>>
Gaussian Function_26_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc698970>>
Gaussian Function_26_30,5*x**2/2,tensor(0.1747),-21.313751712374216
Gaussian Function_26_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699005d850>>
Gaussian Function_26_32,x*(x + exp(x)),tensor(0.1522),-30.038890100428123
Gaussian Function_26_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0017d60>>
Gaussian Function_26_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928129e80>>
Gaussian Function_26_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692803c670>>
Gaussian Function_26_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc146eb0>>
Gaussian Function_26_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928129be0>>
Gaussian Function_26_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928129e20>>
Gaussian Function_26_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699810e490>>
Gaussian Function_26_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699810e1f0>>
Gaussian Function_26_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699810e790>>
Gaussian Function_26_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699810ed00>>
Gaussian Function_26_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699810e850>>
Gaussian Function_26_44,x*log(x) - sin(x),tensor(0.),0
Gaussian Function_26_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc195910>>
Gaussian Function_26_46,cos(2*x),tensor(0.3431),-2.6650587460110824
Gaussian Function_26_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc195c70>>
Gaussian Function_26_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc195970>>
Gaussian Function_26_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc195040>>
Gaussian Function_26_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301438b0>>
Gaussian Function_26_51,-x + cos(x),tensor(0.2519),-7.820562019425049
Gaussian Function_26_52,log(x**2),tensor(0.0552),-292.19053372479215
Gaussian Function_26_53,log(5),tensor(0.),0
Gaussian Function_26_54,16*x + 1,tensor(0.0212),-2128.083710378589
Gaussian Function_26_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699005dcd0>>
Gaussian Function_26_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699005d7f0>>
Gaussian Function_26_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc550700>>
Gaussian Function_26_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc550820>>
Gaussian Function_26_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc550fd0>>
Gaussian Function_26_60,2*x - cos(x),tensor(0.0912),-98.40120235160308
Gaussian Function_26_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928129cd0>>
Gaussian Function_26_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928129700>>
Gaussian Function_26_63,sqrt(2)*Abs(x),tensor(0.2487),-8.128680286468319
Gaussian Function_26_64,62*x**2,tensor(0.0072),-18771.69862461047
Gaussian Function_26_65,3*x**3 + x,tensor(0.0971),-85.54917974646536
Gaussian Function_26_66,x*tan(2),tensor(0.1207),-52.08137667290181
Gaussian Function_26_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818ca00>>
Gaussian Function_26_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016f040>>
Gaussian Function_26_69,x*cos(2*x),tensor(0.2029),-14.425588766383472
Gaussian Function_26_70,x**2*(x + tan(x)) + x,tensor(0.1082),-66.89695270668372
Gaussian Function_26_71,1/8,tensor(0.),0
Gaussian Function_26_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998225070>>
Gaussian Function_26_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998360520>>
Gaussian Function_26_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc48a4c0>>
Gaussian Function_26_75,-2*x*(x + 3),tensor(0.0512),-342.16051431964854
Gaussian Function_26_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc504100>>
Gaussian Function_26_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6d5520>>
Gaussian Function_26_78,4*x**3 - 4*x,tensor(0.1322),-42.10758102977383
Gaussian Function_26_79,-2*x**2 + 2*x,tensor(0.0953),-89.12665251989027
Gaussian Function_26_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981f5040>>
Gaussian Function_26_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280aee20>>
Gaussian Function_26_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f804d460>>
Gaussian Function_26_83,x**4 + x + 5,tensor(0.0430),-494.4096245095785
Gaussian Function_26_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930187220>>
Gaussian Function_26_85,2*x + 2/x,tensor(0.0038),-67222.70052674491
Gaussian Function_26_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301870d0>>
Gaussian Function_26_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930102070>>
Gaussian Function_26_88,x*(x + 5),tensor(0.0634),-216.95376985742362
Gaussian Function_26_89,sqrt(x + 2),tensor(0.2226),-11.198438697401036
Gaussian Function_26_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930143070>>
Gaussian Function_26_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900aeb50>>
Gaussian Function_26_92,(x + 3)**2,tensor(0.0216),-2058.6629846745423
Gaussian Function_26_93,sin(x)*cos(x),tensor(0.1890),-17.421026068342357
Gaussian Function_26_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b1d827c0>>
Gaussian Function_26_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699817e9a0>>
Gaussian Function_26_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b42b0>>
Gaussian Function_26_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692803cca0>>
Gaussian Function_26_98,2*atanh(x),tensor(0.0936),-92.70819766113775
Gaussian Function_26_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43e50>>
Gaussian Function_26_100,acos(2*x),tensor(0.),0
Gaussian Function_26_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80d28b0>>
Gaussian Function_26_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580fcf40>>
Gaussian Function_26_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580fc220>>
Gaussian Function_26_104,sin(5*x),tensor(0.1617),-25.884120466240503
Gaussian Function_26_105,x + atanh(x),tensor(0.1081),-67.03712596886332
Gaussian Function_26_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8125190>>
Gaussian Function_26_107,x + exp(x/2),tensor(0.1760),-20.92604266334436
Gaussian Function_26_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998077790>>
Gaussian Function_26_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25625e0>>
Gaussian Function_26_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016f550>>
Gaussian Function_26_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e010e7f0>>
Gaussian Function_26_112,-3*x**2 + 3*x,tensor(0.0713),-168.8700802435608
Gaussian Function_26_113,x*(x + log(x) + 1),tensor(0.),0
Gaussian Function_26_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b27c6730>>
Gaussian Function_26_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900fdf40>>
Gaussian Function_26_116,tan(x)/2,tensor(0.1898),-17.224822561354745
Gaussian Function_26_117,x*exp(-1),tensor(0.2014),-14.729753519850773
Gaussian Function_26_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc195e50>>
Gaussian Function_26_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc550ee0>>
Gaussian Function_26_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc146850>>
