 Nguyen-5'_0_0,x + sinh(x),tensor(0.0720),-164.92207476116118
 Nguyen-5'_5_113,-tan(x + 2),tensor(0.0020),-240751.43070633896
 Nguyen-5'_5_114,acosh(3*x),tensor(0.),0
 Nguyen-5'_5_115,x/(x**2 + 4),tensor(0.0851),-114.60432661094175
 Nguyen-5'_5_116,x**2 + 2*x - cos(x),tensor(0.0879),-106.72572538241552
 Nguyen-5'_5_117,8*x,tensor(0.0323),-894.08355176424
 Nguyen-5'_5_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06a730>>
 Nguyen-5'_5_119,x*(2 - x),tensor(0.0808),-128.47245415545032
 Nguyen-5'_5_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0398b0>>
 Nguyen-5'_5_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c039ca0>>
 Nguyen-5'_5_122,-2*x + exp(x),tensor(0.0521),-330.6466355799251
 Nguyen-5'_5_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c379b80>>
 Nguyen-5'_5_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1761f0>>
 Nguyen-5'_5_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c176ca0>>
 Nguyen-5'_5_126,3*log(x),tensor(0.),0
 Nguyen-5'_5_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0804c0>>
 Nguyen-5'_6_0,x*acos(x)**3,tensor(0.0250),-1517.4932879709297
 Nguyen-5'_6_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c123bb0>>
 Nguyen-5'_6_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c080820>>
 Nguyen-5'_6_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c080d60>>
 Nguyen-5'_6_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c080610>>
 Nguyen-5'_6_5,3*x - 3*log(cos(x)),tensor(0.0540),-306.17220001099037
 Nguyen-5'_6_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0f9f10>>
 Nguyen-5'_6_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1898b0>>
 Nguyen-5'_6_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f5b80>>
 Nguyen-5'_6_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f5eb0>>
 Nguyen-5'_6_10,(x + tan(1))/x,tensor(0.0040),-61263.79574342561
 Nguyen-5'_6_11,3*x*exp(x),tensor(0.0423),-510.7593798539038
 Nguyen-5'_6_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08db50>>
 Nguyen-5'_6_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c175d30>>
 Nguyen-5'_6_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c175eb0>>
 Nguyen-5'_6_15,x**2 + x/4,tensor(0.0725),-162.66422752580968
 Nguyen-5'_6_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0be5e0>>
 Nguyen-5'_6_17,tan(x) - 1,tensor(0.1331),-41.44484281454465
 Nguyen-5'_6_18,12*sin(x),tensor(0.0247),-1556.1165251326004
 Nguyen-5'_6_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4700>>
 Nguyen-5'_6_20,sinh(x)**2,tensor(0.0699),-175.95285971359561
 Nguyen-5'_6_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c156130>>
 Nguyen-5'_6_22,x**2/(x + 1),tensor(0.0193),-2579.143454594122
 Nguyen-5'_6_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c148d00>>
 Nguyen-5'_6_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c087790>>
 Nguyen-5'_6_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c087ac0>>
 Nguyen-5'_6_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0df520>>
 Nguyen-5'_6_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02ddf0>>
 Nguyen-5'_6_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02d340>>
 Nguyen-5'_6_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c176400>>
 Nguyen-5'_6_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c172a90>>
 Nguyen-5'_6_31,2*x*cosh(x),tensor(0.0665),-196.30319884875973
 Nguyen-5'_6_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c057190>>
 Nguyen-5'_6_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c087160>>
 Nguyen-5'_6_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c087af0>>
 Nguyen-5'_6_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c176b50>>
 Nguyen-5'_6_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4d00>>
 Nguyen-5'_6_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4f70>>
 Nguyen-5'_6_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4a00>>
 Nguyen-5'_6_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9c10>>
 Nguyen-5'_6_40,2*x + tanh(2*x),tensor(0.0609),-237.2029160582551
 Nguyen-5'_6_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc10a580>>
 Nguyen-5'_6_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c07d3d0>>
 Nguyen-5'_6_43,x*(x**2 + x)/2,tensor(0.0784),-137.18017181892708
 Nguyen-5'_6_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c07d190>>
 Nguyen-5'_6_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0f9af0>>
 Nguyen-5'_6_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1b0100>>
 Nguyen-5'_6_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0dfdf0>>
 Nguyen-5'_6_48,x**6,tensor(0.0792),-134.05313406708888
 Nguyen-5'_6_49,x/(2*x**2 + x),tensor(0.0045),-48404.604226217925
 Nguyen-5'_6_50,cosh(x)/x,tensor(0.0062),-25299.963083486153
 Nguyen-5'_6_51,-x**2 - x,tensor(0.0925),-95.23376311878435
 Nguyen-5'_6_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b75b0>>
 Nguyen-5'_6_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b7880>>
 Nguyen-5'_6_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08de20>>
 Nguyen-5'_6_55,log(x) + tanh(x),tensor(0.),0
 Nguyen-5'_6_56,x*cos(4),tensor(0.0829),-121.31860218048332
 Nguyen-5'_6_57,2*x*sin(x)/3,tensor(0.0773),-141.66688862929342
 Nguyen-5'_6_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f0580>>
 Nguyen-5'_6_59,x**2 + x + sin(x),tensor(0.0656),-201.82033826723995
 Nguyen-5'_6_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c044970>>
 Nguyen-5'_6_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c044a60>>
 Nguyen-5'_6_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c044be0>>
 Nguyen-5'_6_63,x*(sqrt(x) + exp(x)),tensor(0.),0
 Nguyen-5'_6_64,1/(2*x),tensor(0.0123),-6420.5740955746405
 Nguyen-5'_6_65,4*exp(2*x),tensor(0.0141),-4898.383991682273
 Nguyen-5'_6_66,x*exp(x) + 1,tensor(0.0489),-377.8247347042076
 Nguyen-5'_6_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c19bb50>>
 Nguyen-5'_6_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b5e80>>
 Nguyen-5'_6_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0bec10>>
 Nguyen-5'_6_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0be250>>
 Nguyen-5'_6_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074dc0>>
 Nguyen-5'_6_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e70d0>>
 Nguyen-5'_6_73,x - acos(x),tensor(0.1131),-60.52891875367672
 Nguyen-5'_6_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d1bb0>>
 Nguyen-5'_6_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d1700>>
 Nguyen-5'_6_76,x**2 + x,tensor(0.0707),-171.97269185188065
 Nguyen-5'_6_77,-16/x**2,tensor(1.6194e-06),-381342111006.23517
 Nguyen-5'_6_78,x**2/2 + cosh(x),tensor(0.0503),-355.5653533367739
 Nguyen-5'_6_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074730>>
 Nguyen-5'_6_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08b1c0>>
 Nguyen-5'_6_81,1/(16*x),tensor(0.0634),-217.33636898194675
 Nguyen-5'_6_82,x*(x**2 + x + 3),tensor(0.0534),-313.8330884422742
 Nguyen-5'_6_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08b040>>
 Nguyen-5'_6_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d10d0>>
 Nguyen-5'_6_85,x*exp(2),tensor(0.0346),-778.2743980575253
 Nguyen-5'_6_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0445e0>>
 Nguyen-5'_6_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f4ee0>>
 Nguyen-5'_6_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c039610>>
 Nguyen-5'_6_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c039cd0>>
 Nguyen-5'_6_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c039520>>
 Nguyen-5'_6_91,x*(3*x + 2),tensor(0.0511),-344.1383380547845
 Nguyen-5'_6_92,x*(x*log(x) + x),tensor(0.),0
 Nguyen-5'_6_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c080280>>
 Nguyen-5'_6_94,2*x*(x + 5),tensor(0.0257),-1431.8490651387835
 Nguyen-5'_6_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc051280>>
 Nguyen-5'_6_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b7760>>
 Nguyen-5'_6_97,sin(x)/3,tensor(0.0850),-114.95199212508258
 Nguyen-5'_6_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c172c10>>
 Nguyen-5'_6_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0e5520>>
 Nguyen-5'_6_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1753a0>>
 Nguyen-5'_6_101,3 - exp(x),tensor(0.0430),-494.1215948996705
 Nguyen-5'_6_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9790>>
 Nguyen-5'_6_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c09cee0>>
 Nguyen-5'_6_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c09c0a0>>
 Nguyen-5'_6_105,x + tan(2),tensor(0.1807),-19.559162410926714
 Nguyen-5'_6_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c148d60>>
 Nguyen-5'_6_107,9/x**2,tensor(2.8788e-06),-120660436570.2119
 Nguyen-5'_6_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc189d90>>
 Nguyen-5'_6_109,3*exp(cosh(x)),tensor(0.0139),-5045.503288382043
 Nguyen-5'_6_110,(x**4 + 1/4)/x,tensor(0.0236),-1710.9970279641072
 Nguyen-5'_6_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1eceb0>>
 Nguyen-5'_6_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ec400>>
 Nguyen-5'_6_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ec5e0>>
 Nguyen-5'_6_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ecb50>>
 Nguyen-5'_6_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ec1c0>>
 Nguyen-5'_6_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ec0d0>>
 Nguyen-5'_6_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ec2b0>>
 Nguyen-5'_6_118,x*cosh(x)**2,tensor(0.0751),-150.77085464596604
 Nguyen-5'_6_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ecca0>>
 Nguyen-5'_6_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ec490>>
 Nguyen-5'_6_121,x*(5*x + 1),tensor(0.0423),-511.6333521521874
 Nguyen-5'_6_122,3*x + sin(x),tensor(0.0549),-295.52394904390957
 Nguyen-5'_6_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c175880>>
 Nguyen-5'_6_124,1,tensor(0.),0
 Nguyen-5'_6_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c148070>>
 Nguyen-5'_6_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1712e0>>
 Nguyen-5'_6_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c172280>>
 Nguyen-5'_7_0,6*log(tanh(x)),tensor(0.),0
 Nguyen-5'_7_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0cc730>>
 Nguyen-5'_7_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c07dca0>>
 Nguyen-5'_7_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c07d9a0>>
 Nguyen-5'_7_4,3*x + log(x)**2,tensor(0.),0
 Nguyen-5'_7_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c03dd00>>
 Nguyen-5'_7_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b76a0>>
 Nguyen-5'_7_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b3b50>>
 Nguyen-5'_7_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc08e940>>
 Nguyen-5'_7_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc08e910>>
 Nguyen-5'_7_10,x**2*(x + cos(x)) + x,tensor(0.0700),-175.4436899110519
 Nguyen-5'_7_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c156160>>
 Nguyen-5'_7_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1aaf40>>
 Nguyen-5'_7_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1aa5e0>>
 Nguyen-5'_7_14,5*sin(x),tensor(0.0501),-358.81088246675284
 Nguyen-5'_7_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c123af0>>
 Nguyen-5'_7_16,asin(x + 5),tensor(0.),0
 Nguyen-5'_7_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2e0ca0>>
 Nguyen-5'_7_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0446d0>>
 Nguyen-5'_7_19,5*cos(4*x)/4,tensor(0.0819),-124.66912613932013
 Nguyen-5'_7_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0bea30>>
 Nguyen-5'_7_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c3959d0>>
 Nguyen-5'_7_22,cos(x + 4),tensor(0.1147),-58.60210103765159
 Nguyen-5'_7_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0a5c10>>
 Nguyen-5'_7_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1719a0>>
 Nguyen-5'_7_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0877c0>>
 Nguyen-5'_7_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0e7f10>>
 Nguyen-5'_7_27,x**2 + x + acosh(x),tensor(0.),0
 Nguyen-5'_7_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d1d00>>
 Nguyen-5'_7_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9130>>
 Nguyen-5'_7_30,5*acos(x),tensor(0.0158),-3895.7900678767683
 Nguyen-5'_7_31,3*x,tensor(0.0630),-219.8594266531716
 Nguyen-5'_7_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc10a310>>
 Nguyen-5'_7_33,2*x + 5/x,tensor(0.0013),-627958.2148927058
 Nguyen-5'_7_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0e07c0>>
 Nguyen-5'_7_35,x**2*(x**2 + x),tensor(0.0762),-145.9885096734394
 Nguyen-5'_7_36,x**2 - sinh(x),tensor(0.0689),-181.42418169994863
 Nguyen-5'_7_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074310>>
 Nguyen-5'_7_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074820>>
 Nguyen-5'_7_39,-2*x + sin(x),tensor(0.0798),-132.03730605957148
 Nguyen-5'_7_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0746a0>>
 Nguyen-5'_7_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ec820>>
 Nguyen-5'_7_42,x**2/(x + 1),tensor(0.0193),-2579.143454594122
 Nguyen-5'_7_43,sqrt(2*x + 4),tensor(0.0422),-513.9300000360646
 Nguyen-5'_7_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa012bbe0>>
 Nguyen-5'_7_45,9/x,tensor(0.0007),-2031249.1318006553
 Nguyen-5'_7_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c172e50>>
 Nguyen-5'_7_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ec4c0>>
 Nguyen-5'_7_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02d4c0>>
 Nguyen-5'_7_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02d8e0>>
 Nguyen-5'_7_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02de20>>
 Nguyen-5'_7_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02d070>>
 Nguyen-5'_7_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc02d9a0>>
 Nguyen-5'_7_53,4*x**3,tensor(0.0668),-194.28740613066446
 Nguyen-5'_7_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c172970>>
 Nguyen-5'_7_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c172460>>
 Nguyen-5'_7_56,x*(x + cos(x) + 2),tensor(0.0598),-246.21193502132846
 Nguyen-5'_7_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c074850>>
 Nguyen-5'_7_58,13*log(x),tensor(0.),0
 Nguyen-5'_7_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074430>>
 Nguyen-5'_7_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ec280>>
 Nguyen-5'_7_61,-exp(x) + sin(x),tensor(0.1941),-16.248415151925386
 Nguyen-5'_7_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0ec340>>
 Nguyen-5'_7_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137b80>>
 Nguyen-5'_7_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137e80>>
 Nguyen-5'_7_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137760>>
 Nguyen-5'_7_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc137a30>>
 Nguyen-5'_7_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa012b4f0>>
 Nguyen-5'_7_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa012b8e0>>
 Nguyen-5'_7_69,sqrt(x) + 2*x,tensor(0.),0
 Nguyen-5'_7_70,x**2/5,tensor(0.0824),-122.93390866012635
 Nguyen-5'_7_71,x*(x + 5),tensor(0.0446),-458.46731398002817
 Nguyen-5'_7_72,1/x,tensor(0.0063),-25260.143990594857
 Nguyen-5'_7_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0f41c0>>
 Nguyen-5'_7_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c24e2e0>>
 Nguyen-5'_7_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c24e130>>
 Nguyen-5'_7_76,x*(3*x + 3) + x,tensor(0.0434),-483.81621226948675
 Nguyen-5'_7_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c395a00>>
 Nguyen-5'_7_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b5d30>>
 Nguyen-5'_7_79,-3*x**2 + 3*x,tensor(0.0703),-173.68584719532555
 Nguyen-5'_7_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc08e6d0>>
 Nguyen-5'_7_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c06a190>>
 Nguyen-5'_7_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19ec70>>
 Nguyen-5'_7_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e790>>
 Nguyen-5'_7_84,sqrt(3)*sqrt(x),tensor(0.),0
 Nguyen-5'_7_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e460>>
 Nguyen-5'_7_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c044d60>>
 Nguyen-5'_7_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0dff40>>
 Nguyen-5'_7_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c171b50>>
 Nguyen-5'_7_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c171910>>
 Nguyen-5'_7_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c171f70>>
 Nguyen-5'_7_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b3340>>
 Nguyen-5'_7_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b3850>>
 Nguyen-5'_7_93,2*log(x),tensor(0.),0
 Nguyen-5'_7_94,-x + tan(x),tensor(0.0849),-115.12046502184653
 Nguyen-5'_7_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc0b47f0>>
 Nguyen-5'_7_96,sin(x)*cos(x)/2,tensor(0.0849),-115.15862927066571
 Nguyen-5'_7_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b3d90>>
 Nguyen-5'_7_98,2*x*cos(x),tensor(0.0783),-137.4937864301666
 Nguyen-5'_7_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc165430>>
 Nguyen-5'_7_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc165910>>
 Nguyen-5'_7_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc165220>>
 Nguyen-5'_7_102,sqrt(x) + x**3 + x,tensor(0.),0
 Nguyen-5'_7_103,x**2*(x**2 + 2*x),tensor(0.0730),-160.14493638614627
 Nguyen-5'_7_104,x**2*sin(log(x)),tensor(0.),0
 Nguyen-5'_7_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b3970>>
 Nguyen-5'_7_106,6*x**2 + x,tensor(0.0382),-634.1814358371395
 Nguyen-5'_7_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b7550>>
 Nguyen-5'_7_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c09c520>>
 Nguyen-5'_7_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc08ecd0>>
 Nguyen-5'_7_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc08eb20>>
 Nguyen-5'_7_111,x*(cos(x) - 1),tensor(0.0845),-116.35556315177544
 Nguyen-5'_7_112,3*x + 9,tensor(0.0150),-4302.767720560528
 Nguyen-5'_7_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c057430>>
 Nguyen-5'_7_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0e0fa0>>
 Nguyen-5'_7_115,x*sin(x + 5),tensor(0.0795),-133.12455520157982
 Nguyen-5'_7_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0e0670>>
 Nguyen-5'_7_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1da970>>
