Sigmoid Function_0_0,-x*cos(x) + sin(x),tensor(0.2196),-11.628650630808414
Sigmoid Function_23_102,sin(x) + cos(x),tensor(0.2132),-12.626415188689045
Sigmoid Function_23_103,6*x**2,tensor(0.0548),-296.6868470208514
Sigmoid Function_23_104,x**3/3 + x,tensor(0.1500),-31.12994702013483
Sigmoid Function_23_105,0,tensor(0.),0
Sigmoid Function_23_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64126190>>
Sigmoid Function_23_107,x/2,tensor(0.2076),-13.565359302704703
Sigmoid Function_23_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58177c40>>
Sigmoid Function_23_109,tan(2*x),tensor(0.0032),-100017.82433604532
Sigmoid Function_23_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403e220>>
Sigmoid Function_23_111,3*exp(2*x),tensor(0.0196),-2500.8938625528663
Sigmoid Function_23_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41311c0>>
Sigmoid Function_23_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4131730>>
Sigmoid Function_23_114,3*x/(x**2 + x),tensor(0.0046),-45874.630924622
Sigmoid Function_23_115,sin(x)**3,tensor(0.2096),-13.217302186192219
Sigmoid Function_23_116,x*(cos(x) + 4),tensor(0.0486),-381.672287646634
Sigmoid Function_23_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc4038e80>>
Sigmoid Function_23_118,-x + acos(x),tensor(0.0699),-175.80176113035142
Sigmoid Function_23_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8415e9a0>>
Sigmoid Function_23_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f262bc820>>
Sigmoid Function_23_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f262bcd00>>
Sigmoid Function_23_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41418b0>>
Sigmoid Function_23_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583bb5e0>>
Sigmoid Function_23_124,2 - exp(x),tensor(0.1373),-38.47387684624742
Sigmoid Function_23_125,3*sqrt(x) + x,tensor(0.),0
Sigmoid Function_23_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581e82e0>>
Sigmoid Function_23_127,x*(x**2 + x),tensor(0.2559),-7.4556996083811065
Sigmoid Function_24_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc4038d60>>
Sigmoid Function_24_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc4038bb0>>
Sigmoid Function_24_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2623f640>>
Sigmoid Function_24_3,x + 6/x,tensor(0.0016),-388007.79807727213
Sigmoid Function_24_4,9*x**2 + 2*x,tensor(0.0360),-716.802276186697
Sigmoid Function_24_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4116100>>
Sigmoid Function_24_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f580f2190>>
Sigmoid Function_24_7,x/(x + sin(x)),tensor(0.4916),-0.06977379684724228
Sigmoid Function_24_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4072670>>
Sigmoid Function_24_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4072f10>>
Sigmoid Function_24_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe417c820>>
Sigmoid Function_24_11,tan(3*x)/3,tensor(0.0245),-1586.1252908168258
Sigmoid Function_24_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4072f40>>
Sigmoid Function_24_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840a51c0>>
Sigmoid Function_24_14,-2*x**2 + x,tensor(0.0872),-108.70534056166743
Sigmoid Function_24_15,x**2*exp(3),tensor(0.0156),-3997.801928861134
Sigmoid Function_24_16,2*x*exp(-x),tensor(0.0607),-238.7307703184086
Sigmoid Function_24_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58360a90>>
Sigmoid Function_24_18,61*x**3,tensor(0.0059),-28060.82138686926
Sigmoid Function_24_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f5855c430>>
Sigmoid Function_24_20,5/2,tensor(0.),0
Sigmoid Function_24_21,x + log(2),tensor(0.2292),-10.310416076537477
Sigmoid Function_24_22,x,tensor(0.1662),-24.164029461621876
Sigmoid Function_24_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa404fe50>>
Sigmoid Function_24_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0bb340>>
Sigmoid Function_24_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0bb0d0>>
Sigmoid Function_24_26,-x - acos(x),tensor(0.0638),-214.13576874637204
Sigmoid Function_24_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58073dc0>>
Sigmoid Function_24_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58073cd0>>
Sigmoid Function_24_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58073df0>>
Sigmoid Function_24_30,x + 4/x,tensor(0.0024),-172630.10457467695
Sigmoid Function_24_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f641264c0>>
Sigmoid Function_24_32,2*x**2/15,tensor(0.2333),-9.803946983957678
Sigmoid Function_24_33,x*log(x + 3),tensor(0.1784),-20.211705733429138
Sigmoid Function_24_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc416f2b0>>
Sigmoid Function_24_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8415b7c0>>
Sigmoid Function_24_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58073b20>>
Sigmoid Function_24_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58073100>>
Sigmoid Function_24_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58073be0>>
Sigmoid Function_24_39,sinh(2*x)/2,tensor(0.1312),-42.86112491298731
Sigmoid Function_24_40,x*(x + sin(x))**3,tensor(0.0667),-194.66697613028788
Sigmoid Function_24_41,sinh(x + 3),tensor(0.0111),-7881.888090144077
Sigmoid Function_24_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e075820>>
Sigmoid Function_24_43,4*x**3/9,tensor(0.2172),-11.993739896797814
Sigmoid Function_24_44,x*(x + cos(1)),tensor(0.2770),-5.81099582302426
Sigmoid Function_24_45,(x + 5)**6,tensor(6.5643e-06),-23207173003.917534
Sigmoid Function_24_46,x - 1/2,tensor(0.1103),-64.126348983514
Sigmoid Function_24_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4045a30>>
Sigmoid Function_24_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e1b2c70>>
Sigmoid Function_24_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa0440e6790>>
Sigmoid Function_24_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa0440e6820>>
Sigmoid Function_24_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406adf0>>
Sigmoid Function_24_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406a400>>
Sigmoid Function_24_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406aac0>>
Sigmoid Function_24_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406a850>>
Sigmoid Function_24_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406a550>>
Sigmoid Function_24_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406a790>>
Sigmoid Function_24_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58073ca0>>
Sigmoid Function_24_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58073250>>
Sigmoid Function_24_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41b7f70>>
Sigmoid Function_24_60,x/sin(5),tensor(0.1397),-36.91261850701667
Sigmoid Function_24_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40400a0>>
Sigmoid Function_24_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4040250>>
Sigmoid Function_24_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4040430>>
Sigmoid Function_24_64,acos(x) - 1/8,tensor(0.0960),-87.65595010728181
Sigmoid Function_24_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2636cd90>>
Sigmoid Function_24_66,x*exp(-x),tensor(0.1033),-74.31213896560449
Sigmoid Function_24_67,x**2/(x + 8),tensor(0.2320),-9.961098982105646
Sigmoid Function_24_68,x + exp(x + 1),tensor(0.0405),-560.9570499331254
Sigmoid Function_24_69,x**2 + sin(sqrt(x)),tensor(0.),0
Sigmoid Function_24_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40a7790>>
Sigmoid Function_24_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0542e0>>
Sigmoid Function_24_72,log(cosh(x)),tensor(0.2698),-6.327452916720252
Sigmoid Function_24_73,2*sin(x),tensor(0.1135),-60.01137750459508
Sigmoid Function_24_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f266ad6a0>>
Sigmoid Function_24_75,4*x*(x**2 + x),tensor(0.0691),-180.31850927821293
Sigmoid Function_24_76,cos(x - 1),tensor(0.2960),-4.656893747828728
Sigmoid Function_24_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe41cb850>>
Sigmoid Function_24_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa06c180c40>>
Sigmoid Function_24_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58162640>>
Sigmoid Function_24_80,x**4*sinh(4),tensor(0.0154),-4065.337389974243
Sigmoid Function_24_81,120*x**2,tensor(0.0026),-152338.71347431143
Sigmoid Function_24_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640faee0>>
Sigmoid Function_24_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58275f10>>
Sigmoid Function_24_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403ea30>>
Sigmoid Function_24_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403e9a0>>
Sigmoid Function_24_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fa0440e6850>>
Sigmoid Function_24_87,x + cos(log(x)),tensor(0.),0
Sigmoid Function_24_88,2*x**2/sin(x),tensor(0.0961),-87.51454323606288
Sigmoid Function_24_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f641456a0>>
Sigmoid Function_24_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41162b0>>
Sigmoid Function_24_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4116310>>
Sigmoid Function_24_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4110c40>>
Sigmoid Function_24_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e14cdf0>>
Sigmoid Function_24_94,3*x + cos(x),tensor(0.0782),-138.05209948913117
Sigmoid Function_24_95,atan(x/3),tensor(0.2174),-11.961444953149442
Sigmoid Function_24_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e0548b0>>
Sigmoid Function_24_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e14cb80>>
Sigmoid Function_24_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e14c970>>
Sigmoid Function_24_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41a34f0>>
Sigmoid Function_24_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406a520>>
Sigmoid Function_24_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406ab50>>
Sigmoid Function_24_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26791be0>>
Sigmoid Function_24_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f266ad250>>
Sigmoid Function_24_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f266adfa0>>
Sigmoid Function_24_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e1250a0>>
Sigmoid Function_24_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e125340>>
Sigmoid Function_24_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e1254f0>>
Sigmoid Function_24_108,x**3/3 - 4*x,tensor(0.0554),-289.55744507309123
Sigmoid Function_24_109,x + sqrt(x - 1),tensor(0.),0
Sigmoid Function_24_110,atan(3*x),tensor(0.1244),-48.54345357980346
Sigmoid Function_24_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40998e0>>
Sigmoid Function_24_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40c9bb0>>
Sigmoid Function_24_113,x**2/(x + 5),tensor(0.2400),-9.025141893620544
Sigmoid Function_24_114,x*(x + cos(1)),tensor(0.2770),-5.81099582302426
Sigmoid Function_24_115,2*x + 5,tensor(0.0303),-1023.9253727427738
Sigmoid Function_24_116,6*x**2,tensor(0.0548),-296.6868470208514
Sigmoid Function_24_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583607f0>>
Sigmoid Function_24_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583605e0>>
Sigmoid Function_24_119,x*(x**3 + 3*x),tensor(0.0909),-99.08872993373636
Sigmoid Function_24_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4197850>>
Sigmoid Function_24_121,x**(4/3)/4,tensor(0.),0
Sigmoid Function_24_122,exp(4*x),tensor(0.0111),-7873.02144351407
Sigmoid Function_24_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4131ac0>>
Sigmoid Function_24_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa404f4c0>>
Sigmoid Function_24_125,x*(x + 1),tensor(0.2049),-14.049139881309815
Sigmoid Function_24_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58192d60>>
Sigmoid Function_24_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8415ba00>>
Sigmoid Function_25_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40e6a60>>
Sigmoid Function_25_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40e6820>>
Sigmoid Function_25_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26338e80>>
Sigmoid Function_25_3,x + exp(x) + 1,tensor(0.0685),-184.1764204578223
Sigmoid Function_25_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58192760>>
Sigmoid Function_25_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583bb490>>
Sigmoid Function_25_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40c9400>>
Sigmoid Function_25_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f84072dc0>>
Sigmoid Function_25_8,-x + tan(x),tensor(0.2158),-12.211551451228017
Sigmoid Function_25_9,sin(x) - 1,tensor(0.0816),-125.80402515391327
Sigmoid Function_25_10,x/sin(2),tensor(0.1581),-27.342406318751713
Sigmoid Function_25_11,-cos(2*x),tensor(0.1209),-51.89290648250798
Sigmoid Function_25_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58275b20>>
Sigmoid Function_25_13,x*exp(3*x),tensor(0.0314),-947.9948695382461
Sigmoid Function_25_14,x**3,tensor(0.1935),-16.37821180372278
Sigmoid Function_25_15,x + tan(x) + 4,tensor(0.0378),-645.7029659907587
Sigmoid Function_25_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403fc10>>
Sigmoid Function_25_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2663d370>>
Sigmoid Function_25_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58177340>>
Sigmoid Function_25_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640e5fd0>>
Sigmoid Function_25_20,cos(acosh(5*x)),tensor(0.),0
Sigmoid Function_25_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05da35e0>>
Sigmoid Function_25_22,x*sin(x)**3,tensor(0.2566),-7.39454501350011
Sigmoid Function_25_23,x/sin(x),tensor(0.1908),-16.993409376264616
Sigmoid Function_25_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f583bb9d0>>
Sigmoid Function_25_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4072ee0>>
Sigmoid Function_25_26,3*x*sinh(x),tensor(0.1012),-77.8232597116461
Sigmoid Function_25_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f6402bd90>>
Sigmoid Function_25_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa40cd910>>
Sigmoid Function_25_29,log(x)/4,tensor(0.),0
Sigmoid Function_25_30,-3*x + 6*log(x),tensor(0.),0
Sigmoid Function_25_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e125be0>>
Sigmoid Function_25_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe41c9490>>
Sigmoid Function_25_33,x + cos(4*x),tensor(0.1064),-69.59515902097259
Sigmoid Function_25_34,cos(x + 4),tensor(0.1134),-60.154264258472
Sigmoid Function_25_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa41a37c0>>
Sigmoid Function_25_36,x*(log(x) + 5),tensor(0.),0
Sigmoid Function_25_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41412b0>>
Sigmoid Function_25_38,exp(x) + log(x),tensor(0.),0
Sigmoid Function_25_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe4126940>>
Sigmoid Function_25_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05da3a30>>
Sigmoid Function_25_41,tan(x),tensor(0.1435),-34.6215486989903
Sigmoid Function_25_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840a5460>>
Sigmoid Function_25_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40e6760>>
Sigmoid Function_25_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403ecd0>>
Sigmoid Function_25_45,x*(x + 2),tensor(0.1153),-57.92937329791295
Sigmoid Function_25_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe417c040>>
Sigmoid Function_25_47,x**2*sin(3)**2,tensor(0.2203),-11.52763318157355
Sigmoid Function_25_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40c2040>>
Sigmoid Function_25_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64170d90>>
Sigmoid Function_25_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e1b2430>>
Sigmoid Function_25_51,4*x*(x + 2),tensor(0.0295),-1082.5632439750186
Sigmoid Function_25_52,x**3 - 2*x,tensor(0.1173),-55.59805651873029
Sigmoid Function_25_53,2*(x**2 + x)/x,tensor(0.0749),-151.38091852550926
Sigmoid Function_25_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58073760>>
Sigmoid Function_25_55,16,tensor(0.),0
Sigmoid Function_25_56,x*(x - cos(x)) + x,tensor(0.2963),-4.6427159108088665
Sigmoid Function_25_57,x*(x + sin(4)),tensor(0.1693),-23.09155818876506
Sigmoid Function_25_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4116340>>
Sigmoid Function_25_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe406a6d0>>
Sigmoid Function_25_60,x/2,tensor(0.2076),-13.565359302704703
Sigmoid Function_25_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e14c190>>
Sigmoid Function_25_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e14cbb0>>
Sigmoid Function_25_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e14c910>>
Sigmoid Function_25_64,(x + 1)*exp(x),tensor(0.0793),-133.81903460477366
Sigmoid Function_25_65,x*sin(x)**2 + 2*x,tensor(0.0875),-107.8740800522112
Sigmoid Function_25_66,5*x**2 - 3*x,tensor(0.0459),-432.0156627284838
Sigmoid Function_25_67,3*x*sin(x) + 3*x,tensor(0.0744),-153.8223843441247
Sigmoid Function_25_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc41a45e0>>
Sigmoid Function_25_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc4185c70>>
Sigmoid Function_25_70,x**2*tan(1),tensor(0.2196),-11.629859789076582
Sigmoid Function_25_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e075c10>>
Sigmoid Function_25_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa418eb20>>
Sigmoid Function_25_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa418e1f0>>
Sigmoid Function_25_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640ab8b0>>
Sigmoid Function_25_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640ab220>>
Sigmoid Function_25_76,(x**2 + 1)/x,tensor(0.0095),-10906.968358268547
Sigmoid Function_25_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640ab2e0>>
Sigmoid Function_25_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe40c9880>>
Sigmoid Function_25_79,x*(x + asin(x)),tensor(0.1565),-28.03080462859225
Sigmoid Function_25_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f8415e2b0>>
Sigmoid Function_25_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f58275220>>
Sigmoid Function_25_82,x**2*(x + 1),tensor(0.2559),-7.455699608381108
Sigmoid Function_25_83,x**2 + exp(x),tensor(0.1067),-69.12944402560423
Sigmoid Function_25_84,-x + asin(x),tensor(0.2190),-11.712541767444671
Sigmoid Function_25_85,sin(x) + 6,tensor(0.0251),-1504.8886604564118
Sigmoid Function_25_86,log(2*x),tensor(0.),0
Sigmoid Function_25_87,x**2*(2*x + 1),tensor(0.1657),-24.35089465618758
Sigmoid Function_25_88,2 - cos(x),tensor(0.1651),-24.560924269260443
Sigmoid Function_25_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4131ca0>>
Sigmoid Function_25_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fe403b1f0>>
Sigmoid Function_25_91,acos(x),tensor(0.0899),-101.38824990119612
Sigmoid Function_25_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fa4072b50>>
Sigmoid Function_25_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640e5340>>
Sigmoid Function_25_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f840fc730>>
Sigmoid Function_25_95,2*exp(2*x),tensor(0.0300),-1047.735576042246
Sigmoid Function_25_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f266adeb0>>
Sigmoid Function_25_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e1254c0>>
Sigmoid Function_25_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f2e125bb0>>
Sigmoid Function_25_99,atan(x) + 2,tensor(0.0855),-113.41674741924214
Sigmoid Function_25_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64170fd0>>
Sigmoid Function_25_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64170f40>>
Sigmoid Function_25_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64170790>>
Sigmoid Function_25_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64170460>>
Sigmoid Function_25_104,x*(322 - x),tensor(0.0007),-1843490.3597466534
Sigmoid Function_25_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f263155e0>>
Sigmoid Function_25_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f6404bcd0>>
Sigmoid Function_25_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f6404bc10>>
Sigmoid Function_25_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f6404b2b0>>
Sigmoid Function_25_109,x/sin(x**(-2)),tensor(0.0757),-148.26857467073373
Sigmoid Function_25_110,cosh(sqrt(x)),tensor(0.),0
Sigmoid Function_25_111,log(x + 5),tensor(0.1133),-60.29342751566501
Sigmoid Function_25_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f581e8e80>>
Sigmoid Function_25_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f26540b50>>
Sigmoid Function_25_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f64145370>>
Sigmoid Function_25_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f05da3f10>>
Sigmoid Function_25_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640e5130>>
Sigmoid Function_25_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640e54f0>>
Sigmoid Function_25_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9f640e5e50>>
Sigmoid Function_25_119,cos(x + 2),tensor(0.1226),-50.17804016632535
Sigmoid Function_25_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f9fc40ea520>>
