Exponential Decay with Sine_0_0,x + tan(x),tensor(0.7070),0.8281807797665881
Exponential Decay with Sine_26_22,-2*x**3/3,tensor(0.4721),-0.2508292002205408
Exponential Decay with Sine_26_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990134910>>
Exponential Decay with Sine_26_24,4*x**2 + 8*x,tensor(0.3988),-1.2719835751175057
Exponential Decay with Sine_26_25,x**6/6,tensor(0.4964),-0.029574757792777406
Exponential Decay with Sine_26_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81d8a60>>
Exponential Decay with Sine_26_27,-x + cos(x),tensor(0.4206),-0.8980915909464102
Exponential Decay with Sine_26_28,x**3 + x,tensor(0.6278),0.6485329994718139
Exponential Decay with Sine_26_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f802cd30>>
Exponential Decay with Sine_26_30,5*x/2,tensor(0.7376),0.873445864842756
Exponential Decay with Sine_26_31,(2*x + 2)*exp(x),tensor(0.3727),-1.8320665110215506
Exponential Decay with Sine_26_32,x*(x + exp(x)),tensor(0.5281),0.2012274202814539
Exponential Decay with Sine_26_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699811fb50>>
Exponential Decay with Sine_26_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998360a90>>
Exponential Decay with Sine_26_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69983602e0>>
Exponential Decay with Sine_26_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300bb250>>
Exponential Decay with Sine_26_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc146ee0>>
Exponential Decay with Sine_26_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8065160>>
Exponential Decay with Sine_26_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8065df0>>
Exponential Decay with Sine_26_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80654c0>>
Exponential Decay with Sine_26_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8065fa0>>
Exponential Decay with Sine_26_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b0310>>
Exponential Decay with Sine_26_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c0d0>>
Exponential Decay with Sine_26_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c6d0>>
Exponential Decay with Sine_26_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c9d0>>
Exponential Decay with Sine_26_46,cos(2*x),tensor(0.4864),-0.11460697111895546
Exponential Decay with Sine_26_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc7584f0>>
Exponential Decay with Sine_26_48,3 - x**2,tensor(0.3701),-1.8967665892688337
Exponential Decay with Sine_26_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c970>>
Exponential Decay with Sine_26_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818c580>>
Exponential Decay with Sine_26_51,-x + cos(x),tensor(0.4206),-0.8980915909464102
Exponential Decay with Sine_26_52,log(x**2),tensor(0.3810),-1.6386949591741402
Exponential Decay with Sine_26_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280adf10>>
Exponential Decay with Sine_26_54,16*x + 1,tensor(0.2283),-10.427075800353219
Exponential Decay with Sine_26_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0090940>>
Exponential Decay with Sine_26_56,x + sin(3),tensor(0.5686),0.42425751868057215
Exponential Decay with Sine_26_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0090c70>>
Exponential Decay with Sine_26_58,3*x + log(x),tensor(0.),0
Exponential Decay with Sine_26_59,x**2,tensor(0.4827),-0.14884961898992066
Exponential Decay with Sine_26_60,2*x - cos(x),tensor(0.6458),0.6991726262344082
Exponential Decay with Sine_26_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b283b7f0>>
Exponential Decay with Sine_26_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b18fa370>>
Exponential Decay with Sine_26_63,x**2*cosh(2),tensor(0.4166),-0.961867514532224
Exponential Decay with Sine_26_64,65*x**2,tensor(0.0669),-193.35825560167984
Exponential Decay with Sine_26_65,3*x**2 + x,tensor(0.4788),-0.18520782677545133
Exponential Decay with Sine_26_66,x*tan(2),tensor(0.3847),-1.5587876107064536
Exponential Decay with Sine_26_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f89d0>>
Exponential Decay with Sine_26_68,cos(x),tensor(0.4696),-0.27612814200907176
Exponential Decay with Sine_26_69,x*cos(x + 2),tensor(0.4823),-0.15211718132357843
Exponential Decay with Sine_26_70,x**2*(x + tan(x)) + x,tensor(0.6983),0.8132757556522566
Exponential Decay with Sine_26_71,x/8,tensor(0.5057),0.04474568307853177
Exponential Decay with Sine_26_72,sin(x)/cos(x),tensor(0.5982),0.5488954434293383
Exponential Decay with Sine_26_73,x*(x + cos(x**2)),tensor(0.5345),0.24173456412169814
Exponential Decay with Sine_26_74,x**5*cos(1),tensor(0.5125),0.0949660514412749
Exponential Decay with Sine_26_75,-2*x*atanh(x),tensor(0.4710),-0.2616889080687357
Exponential Decay with Sine_26_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4550>>
Exponential Decay with Sine_26_77,x**3 + sin(x),tensor(0.6187),0.6203013864172147
Exponential Decay with Sine_26_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e00251c0>>
Exponential Decay with Sine_26_79,x*cos(x) + 2*x,tensor(0.7681),0.9088607871388942
Exponential Decay with Sine_26_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692817c430>>
Exponential Decay with Sine_26_81,15*x**2,tensor(0.2221),-11.269383992773662
Exponential Decay with Sine_26_82,4,tensor(0.),0
Exponential Decay with Sine_26_83,x**4 + x + 5,tensor(0.2726),-6.117250949928127
Exponential Decay with Sine_26_84,x + cos(x)**3,tensor(0.5431),0.29202911682937915
Exponential Decay with Sine_26_85,2*x + sin(x),tensor(0.7935),0.9322440631724661
Exponential Decay with Sine_26_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928074c10>>
Exponential Decay with Sine_26_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930102070>>
Exponential Decay with Sine_26_88,x*(x + cos(x)),tensor(0.5289),0.20646735321265575
Exponential Decay with Sine_26_89,sqrt(2*x + 1),tensor(0.),0
Exponential Decay with Sine_26_90,x**2,tensor(0.4827),-0.14884961898992066
Exponential Decay with Sine_26_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b0040>>
Exponential Decay with Sine_26_92,(x + 3)**2,tensor(0.1823),-19.10777323258974
Exponential Decay with Sine_26_93,sin(x)*cos(x),tensor(0.5447),0.3011739221883223
Exponential Decay with Sine_26_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2cdbd00>>
Exponential Decay with Sine_26_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692817c280>>
Exponential Decay with Sine_26_96,2*sin(2*x),tensor(0.7427),0.8799191715225956
Exponential Decay with Sine_26_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81a8250>>
Exponential Decay with Sine_26_98,2*atanh(x),tensor(0.7395),0.8759388608081622
Exponential Decay with Sine_26_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0017df0>>
Exponential Decay with Sine_26_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4eb0>>
Exponential Decay with Sine_26_101,x*sin(2),tensor(0.5656),0.41033989769617796
Exponential Decay with Sine_26_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b41c0>>
Exponential Decay with Sine_26_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998377a60>>
Exponential Decay with Sine_26_104,sin(2*x),tensor(0.6010),0.5591672551079832
Exponential Decay with Sine_26_105,x + atanh(x),tensor(0.7210),0.8503339753273205
Exponential Decay with Sine_26_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016f2e0>>
Exponential Decay with Sine_26_107,x + exp(x),tensor(0.5496),0.32866384824657346
Exponential Decay with Sine_26_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692804a4f0>>
Exponential Decay with Sine_26_109,67*x**3,tensor(0.0833),-120.24192127625311
Exponential Decay with Sine_26_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f693013f610>>
Exponential Decay with Sine_26_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998237f10>>
Exponential Decay with Sine_26_112,x*(x**2 + 4),tensor(0.7628),0.9033353899048475
Exponential Decay with Sine_26_113,x*atanh(2*x),tensor(0.),0
Exponential Decay with Sine_26_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8065610>>
Exponential Decay with Sine_26_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6160d0>>
Exponential Decay with Sine_26_116,tan(x)/2,tensor(0.5435),0.29430954172257795
Exponential Decay with Sine_26_117,x*atanh(2*x),tensor(0.),0
Exponential Decay with Sine_26_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e002cd60>>
Exponential Decay with Sine_26_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930143850>>
Exponential Decay with Sine_26_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301438b0>>
Exponential Decay with Sine_26_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f804d4c0>>
Exponential Decay with Sine_26_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f804da90>>
Exponential Decay with Sine_26_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f804d6d0>>
Exponential Decay with Sine_26_124,2*x*cos(3),tensor(0.3930),-1.384640515100965
Exponential Decay with Sine_26_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301903a0>>
Exponential Decay with Sine_26_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1ce3a0>>
Exponential Decay with Sine_26_127,x*cos(2),tensor(0.4711),-0.26035930859681966
Exponential Decay with Sine_27_0,4*x**5/5,tensor(0.5199),0.14706728823406912
Exponential Decay with Sine_27_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b06d0>>
Exponential Decay with Sine_27_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699811f2b0>>
Exponential Decay with Sine_27_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982378b0>>
Exponential Decay with Sine_27_4,x + cos(x),tensor(0.5276),0.19845902162980755
Exponential Decay with Sine_27_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc73d400>>
Exponential Decay with Sine_27_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43520>>
Exponential Decay with Sine_27_7,x + sin(x + 1),tensor(0.5712),0.4365604264067162
Exponential Decay with Sine_27_8,x*asinh(x),tensor(0.4843),-0.13393087259098402
Exponential Decay with Sine_27_9,2*x**2*sin(3),tensor(0.4941),-0.04871547680513588
Exponential Decay with Sine_27_10,x + sin(x) + 1,tensor(0.5649),0.4066605996017081
Exponential Decay with Sine_27_11,x*(x + 5) + x,tensor(0.5820),0.4841735565836951
Exponential Decay with Sine_27_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e018cc10>>
Exponential Decay with Sine_27_13,cos(x),tensor(0.4696),-0.27612814200907176
Exponential Decay with Sine_27_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b283bdc0>>
Exponential Decay with Sine_27_15,x**2 - 3*x,tensor(0.3498),-2.4549410583059323
Exponential Decay with Sine_27_16,3*x*acos(x),tensor(0.5876),0.5075704805067394
Exponential Decay with Sine_27_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e00908b0>>
Exponential Decay with Sine_27_18,x**2*sin(x),tensor(0.5342),0.23972478873612424
Exponential Decay with Sine_27_19,x + sin(x) + 2,tensor(0.4614),-0.3623551116536179
Exponential Decay with Sine_27_20,x*(x + 1),tensor(0.5490),0.325094956851831
Exponential Decay with Sine_27_21,2*x + sin(x),tensor(0.7935),0.9322440631724661
Exponential Decay with Sine_27_22,x + cos(x**2),tensor(0.5224),0.16442727502666454
Exponential Decay with Sine_27_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc73d7f0>>
Exponential Decay with Sine_27_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc48ad00>>
Exponential Decay with Sine_27_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e018c040>>
Exponential Decay with Sine_27_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e018c6d0>>
Exponential Decay with Sine_27_27,sin(5)/x**2,tensor(0.0004),-8096998.546098761
Exponential Decay with Sine_27_28,2*x + 1,tensor(0.5701),0.43156267951445626
Exponential Decay with Sine_27_29,12*x*sin(x),tensor(0.2752),-5.93850606038355
Exponential Decay with Sine_27_30,2*x + sin(x),tensor(0.7935),0.9322440631724661
Exponential Decay with Sine_27_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f693016d040>>
Exponential Decay with Sine_27_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81258e0>>
Exponential Decay with Sine_27_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930102e50>>
Exponential Decay with Sine_27_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4520>>
Exponential Decay with Sine_27_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b45b0>>
Exponential Decay with Sine_27_36,-sin(2*x),tensor(0.4228),-0.8632755754200789
Exponential Decay with Sine_27_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8065100>>
Exponential Decay with Sine_27_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8065ca0>>
Exponential Decay with Sine_27_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8065880>>
Exponential Decay with Sine_27_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580996a0>>
Exponential Decay with Sine_27_41,x + exp(x**2),tensor(0.4661),-0.31234505969938176
Exponential Decay with Sine_27_42,x*(-x**2 + x) + x,tensor(0.5073),0.05662545639515326
Exponential Decay with Sine_27_43,x + acos(x),tensor(0.4225),-0.8689816750095414
Exponential Decay with Sine_27_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4790>>
Exponential Decay with Sine_27_45,x*(x + log(x)),tensor(0.),0
Exponential Decay with Sine_27_46,5*x*cos(x),tensor(0.8376),0.9624284669913659
Exponential Decay with Sine_27_47,x**2 + sin(x),tensor(0.5420),0.2861638069536676
Exponential Decay with Sine_27_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c39d0>>
Exponential Decay with Sine_27_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc758ee0>>
Exponential Decay with Sine_27_50,x,tensor(0.5735),0.44677196358720206
Exponential Decay with Sine_27_51,4*x**2 + 2*x,tensor(0.4740),-0.23144045797914714
Exponential Decay with Sine_27_52,2*x - 4*log(x + 8),tensor(0.2095),-13.232083385684751
Exponential Decay with Sine_27_53,x*sin(x + 3),tensor(0.5091),0.07024426816739693
Exponential Decay with Sine_27_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81800a0>>
Exponential Decay with Sine_27_55,x,tensor(0.5735),0.44677196358720206
Exponential Decay with Sine_27_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901740a0>>
Exponential Decay with Sine_27_57,sin(x),tensor(0.5652),0.4084067057877575
Exponential Decay with Sine_27_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc103af0>>
Exponential Decay with Sine_27_59,Abs(x),tensor(0.4772),-0.19990376811342236
Exponential Decay with Sine_27_60,x/(x + 1),tensor(0.2277),-10.502604534777378
Exponential Decay with Sine_27_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981c8670>>
Exponential Decay with Sine_27_62,sqrt(x) + sin(x),tensor(0.),0
Exponential Decay with Sine_27_63,x + cosh(x),tensor(0.4964),-0.029029613437976387
Exponential Decay with Sine_27_64,x*atan(x),tensor(0.4856),-0.12191850857488329
Exponential Decay with Sine_27_65,x + asinh(x**2),tensor(0.5511),0.33652950705469686
Exponential Decay with Sine_27_66,x*atan(x),tensor(0.4856),-0.12191850857488329
Exponential Decay with Sine_27_67,x**3*sin(x),tensor(0.4892),-0.09054512204236898
Exponential Decay with Sine_27_68,x*cos(1) + x,tensor(0.6246),0.6386698412073757
Exponential Decay with Sine_27_69,2*sinh(x),tensor(0.6987),0.8141034966921383
Exponential Decay with Sine_27_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6d5be0>>
Exponential Decay with Sine_27_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f80f2610>>
Exponential Decay with Sine_27_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580fcc40>>
Exponential Decay with Sine_27_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1d39d0>>
Exponential Decay with Sine_27_74,3*sin(x),tensor(0.7672),0.9078913231385564
Exponential Decay with Sine_27_75,-5*x/2,tensor(0.3725),-1.8383429690372783
Exponential Decay with Sine_27_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699829a0a0>>
Exponential Decay with Sine_27_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f8910>>
Exponential Decay with Sine_27_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692808e400>>
Exponential Decay with Sine_27_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b25622b0>>
Exponential Decay with Sine_27_80,-2*x + exp(x),tensor(0.4103),-1.06484413617006
Exponential Decay with Sine_27_81,sinh(x)/2,tensor(0.5367),0.2546046099545606
Exponential Decay with Sine_27_82,8*sin(x),tensor(0.5064),0.0500455272430016
Exponential Decay with Sine_27_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998360e80>>
Exponential Decay with Sine_27_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e00c92e0>>
Exponential Decay with Sine_27_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81a84f0>>
Exponential Decay with Sine_27_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f81a86d0>>
Exponential Decay with Sine_27_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699836e910>>
Exponential Decay with Sine_27_88,2*x*(x + 2),tensor(0.6344),0.6678358976103672
Exponential Decay with Sine_27_89,x**4*sin(x) + x,tensor(0.6056),0.5757479492542714
Exponential Decay with Sine_27_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692804ae20>>
Exponential Decay with Sine_27_91,-x + tanh(x),tensor(0.4872),-0.10824323393850155
Exponential Decay with Sine_27_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998377790>>
Exponential Decay with Sine_27_93,x + 1,tensor(0.5134),0.1018575740522718
Exponential Decay with Sine_27_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b27c6940>>
Exponential Decay with Sine_27_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1d3d60>>
Exponential Decay with Sine_27_96,log(x)**3,tensor(0.),0
Exponential Decay with Sine_27_97,tanh(x),tensor(0.5602),0.38364236128701557
Exponential Decay with Sine_27_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0090eb0>>
Exponential Decay with Sine_27_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f8076280>>
Exponential Decay with Sine_27_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699822d940>>
Exponential Decay with Sine_27_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699822dd30>>
Exponential Decay with Sine_27_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930143c70>>
Exponential Decay with Sine_27_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930143820>>
Exponential Decay with Sine_27_104,x,tensor(0.5735),0.44677196358720206
Exponential Decay with Sine_27_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f693013f580>>
Exponential Decay with Sine_27_106,cos(3*x),tensor(0.4943),-0.0470124388779678
Exponential Decay with Sine_27_107,3*x,tensor(0.8059),0.9419823559453775
Exponential Decay with Sine_27_108,x**5 + x + 5,tensor(0.2828),-5.43270107328486
Exponential Decay with Sine_27_109,x**3/3 + x,tensor(0.5910),0.5210460889155825
Exponential Decay with Sine_27_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699817e8b0>>
Exponential Decay with Sine_27_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998249880>>
Exponential Decay with Sine_27_112,exp(x + 3),tensor(0.0761),-146.32543641034516
Exponential Decay with Sine_27_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300bb6d0>>
Exponential Decay with Sine_27_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2562df0>>
Exponential Decay with Sine_27_115,x*(x + 1),tensor(0.5490),0.325094956851831
Exponential Decay with Sine_27_116,x*(x + sin(x)),tensor(0.4639),-0.33596875395915715
Exponential Decay with Sine_27_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f818cdf0>>
Exponential Decay with Sine_27_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958099d60>>
Exponential Decay with Sine_27_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958099070>>
Exponential Decay with Sine_27_120,x - exp(x),tensor(0.4770),-0.20192668666220825
Exponential Decay with Sine_27_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f804d820>>
Exponential Decay with Sine_27_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f804d340>>
Exponential Decay with Sine_27_123,tanh(x)**2,tensor(0.4883),-0.09809558247608607
Exponential Decay with Sine_27_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f802ce50>>
Exponential Decay with Sine_27_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc103d30>>
Exponential Decay with Sine_27_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b0e20>>
Exponential Decay with Sine_27_127,2*x**3/9,tensor(0.5062),0.04817245562059003
Exponential Decay with Sine_28_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990174250>>
Exponential Decay with Sine_28_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1032e0>>
Exponential Decay with Sine_28_2,sin(x) + cos(x),tensor(0.5217),0.15950931558599157
Exponential Decay with Sine_28_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980b0670>>
Exponential Decay with Sine_28_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b27c6ac0>>
Exponential Decay with Sine_28_5,2*x - 2,tensor(0.5197),0.14608219703456837
Exponential Decay with Sine_28_6,x*(x + cos(x)),tensor(0.5289),0.20646735321265575
Exponential Decay with Sine_28_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016f040>>
Exponential Decay with Sine_28_8,sin(3*x)/3,tensor(0.5210),0.1549988677258861
Exponential Decay with Sine_28_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6958130a90>>
Exponential Decay with Sine_28_10,x**2/3,tensor(0.4934),-0.05432798853574439
Exponential Decay with Sine_28_11,3*x + cosh(x),tensor(0.5830),0.4885803845040737
Exponential Decay with Sine_28_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc48a460>>
Exponential Decay with Sine_28_13,3*x + tan(x),tensor(0.8095),0.944622596545709
Exponential Decay with Sine_28_14,x + 1,tensor(0.5134),0.1018575740522718
Exponential Decay with Sine_28_15,2*x - log(cos(x)),tensor(0.6508),0.7120443659562697
Exponential Decay with Sine_28_16,x + cos(x + 1),tensor(0.5007),0.005458299879305795
Exponential Decay with Sine_28_17,x*(x - tan(1)),tensor(0.4038),-1.1804690219081282
Exponential Decay with Sine_28_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69280b0220>>
Exponential Decay with Sine_28_19,exp(x)*atanh(log(x)),tensor(0.),0
Exponential Decay with Sine_28_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900d0430>>
Exponential Decay with Sine_28_21,x**2 - 1/4,tensor(0.4891),-0.09112131858055816
Exponential Decay with Sine_28_22,sin(x)**2,tensor(0.4864),-0.11477606117257277
Exponential Decay with Sine_28_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69281f5a30>>
Exponential Decay with Sine_28_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f692808ee50>>
Exponential Decay with Sine_28_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc1e0280>>
Exponential Decay with Sine_28_26,2*x,tensor(0.6749),0.7680653024155196
Exponential Decay with Sine_28_27,x**2*tan(2),tensor(0.4934),-0.05413818727245512
Exponential Decay with Sine_28_28,4*x + tan(x),tensor(0.6816),0.7817790769875801
Exponential Decay with Sine_28_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0156e50>>
Exponential Decay with Sine_28_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b4d00>>
Exponential Decay with Sine_28_31,x**2*tan(2),tensor(0.4934),-0.05413818727245512
Exponential Decay with Sine_28_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc6d5a30>>
Exponential Decay with Sine_28_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc758d60>>
Exponential Decay with Sine_28_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f693013f7f0>>
Exponential Decay with Sine_28_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f693013f8e0>>
Exponential Decay with Sine_28_36,x + cos(1),tensor(0.5470),0.31402120184107374
