Quadratic Equation_0_0,3*exp(x)/x,tensor(0.0628),-221.73495425048935
Quadratic Equation_32_119,x + sin(x) + 1,tensor(0.2977),-4.564702994651811
Quadratic Equation_32_120,x**2 - cos(x),tensor(0.2804),-5.588032361803864
Quadratic Equation_32_121,2*x - log(cos(x)),tensor(0.2788),-5.694447547285319
Quadratic Equation_32_122,3*x**2 + 3*x,tensor(0.2876),-5.138600726361882
Quadratic Equation_32_123,x,tensor(0.2830),-5.416330151725984
Quadratic Equation_32_124,exp(4*x)/4,tensor(0.2892),-5.042509769263325
Quadratic Equation_32_125,10,tensor(0.),0
Quadratic Equation_32_126,x*cos(x**2) + x,tensor(0.2759),-5.884956387732544
Quadratic Equation_32_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2631c0>>
Quadratic Equation_33_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac434eb0>>
Quadratic Equation_33_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac434910>>
Quadratic Equation_33_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc08fb20>>
Quadratic Equation_33_3,x**4,tensor(0.2978),-4.562515121733643
Quadratic Equation_33_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e90174eb0>>
Quadratic Equation_33_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76117f70>>
Quadratic Equation_33_6,x**3 + x + 2,tensor(0.3272),-3.2292455038376513
Quadratic Equation_33_7,(x + 1)**4,tensor(0.2793),-5.660170270770189
Quadratic Equation_33_8,x**2*exp(x) + 2*x,tensor(0.2781),-5.737806504979447
Quadratic Equation_33_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76376fa0>>
Quadratic Equation_33_10,2*x + exp(x),tensor(0.2882),-5.1001758569449835
Quadratic Equation_33_11,x**3,tensor(0.2864),-5.209167167523472
Quadratic Equation_33_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc133d90>>
Quadratic Equation_33_13,x*log(x + 3),tensor(0.2856),-5.259681189720769
Quadratic Equation_33_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e765df6a0>>
Quadratic Equation_33_15,x**2 + 3*x,tensor(0.2725),-6.125202103277513
Quadratic Equation_33_16,x**4 + 5,tensor(0.4769),-0.20339521732538768
Quadratic Equation_33_17,2*exp(x),tensor(0.3288),-3.168581140515248
Quadratic Equation_33_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac02f2e0>>
Quadratic Equation_33_19,x + cos(x) + 9,tensor(0.3860),-1.530682192478897
Quadratic Equation_33_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c1d61f0>>
Quadratic Equation_33_21,x + 2,tensor(0.3365),-2.8878070671055656
Quadratic Equation_33_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac3ba580>>
Quadratic Equation_33_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc08f820>>
Quadratic Equation_33_24,sin(x)**2,tensor(0.2998),-4.456102961683167
Quadratic Equation_33_25,acos(x) + 2,tensor(0.4418),-0.5966254203878854
Quadratic Equation_33_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac25ddc0>>
Quadratic Equation_33_27,acos(x) + 3,tensor(0.4950),-0.04097154614427123
Quadratic Equation_33_28,x*cos(2*x),tensor(0.2913),-4.917495656614213
Quadratic Equation_33_29,x**2*cos(1),tensor(0.2970),-4.600948894019956
Quadratic Equation_33_30,sin(x)/2,tensor(0.2878),-5.121522244115407
Quadratic Equation_33_31,exp(x) + 1/2,tensor(0.3263),-3.261952692376078
Quadratic Equation_33_32,8*x + 5,tensor(0.2726),-6.119871867611759
Quadratic Equation_33_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e7634ddf0>>
Quadratic Equation_33_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6dfc65b0>>
Quadratic Equation_33_35,-log(cos(x)),tensor(0.2973),-4.588241145849117
Quadratic Equation_33_36,sin(x) + 1,tensor(0.3093),-3.988173530989231
Quadratic Equation_33_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76343910>>
Quadratic Equation_33_38,x*log(x**2),tensor(0.2962),-4.644478564444517
Quadratic Equation_33_39,cos(x) - 1,tensor(0.2870),-5.169142923153797
Quadratic Equation_33_40,x**6/9,tensor(0.2922),-4.869817871325433
Quadratic Equation_33_41,x**4 + x**2,tensor(0.3078),-4.058200963647523
Quadratic Equation_33_42,log(cos(x)) - 2,tensor(0.2431),-8.697798581587353
Quadratic Equation_33_43,cosh(x) + 4,tensor(0.4752),-0.21920077669911997
Quadratic Equation_33_44,3*x**2,tensor(0.3222),-3.4257948246286505
Quadratic Equation_33_45,exp(x)/x**2,tensor(0.0024),-173553.46792751545
Quadratic Equation_33_46,-x + exp(x),tensor(0.3244),-3.337316607241834
Quadratic Equation_33_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e9006cac0>>
Quadratic Equation_33_48,x + sinh(x) + 1,tensor(0.2954),-4.69177077300389
Quadratic Equation_33_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac434280>>
Quadratic Equation_33_50,sin(x) + 2,tensor(0.3380),-2.83599778782381
Quadratic Equation_33_51,sin(x)**2,tensor(0.2998),-4.456102961683167
Quadratic Equation_33_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0d60a0>>
Quadratic Equation_33_53,3*x*exp(-x),tensor(0.2343),-9.681220935768211
Quadratic Equation_33_54,3*x**4/4,tensor(0.2962),-4.643826051101995
Quadratic Equation_33_55,x + asin(x),tensor(0.2725),-6.127387973001548
Quadratic Equation_33_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac500f10>>
Quadratic Equation_33_57,x*(x + 2),tensor(0.2824),-5.458313967120868
Quadratic Equation_33_58,sin(x + 2),tensor(0.3158),-3.6946103369209524
Quadratic Equation_33_59,5*sin(x),tensor(0.2515),-7.859237449941045
Quadratic Equation_33_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac25d520>>
Quadratic Equation_33_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1048e0>>
Quadratic Equation_33_62,x**4/2 + exp(x),tensor(0.3155),-3.704997875902018
Quadratic Equation_33_63,x**11,tensor(0.2898),-5.005229703291511
Quadratic Equation_33_64,x*(5*x**2 + x),tensor(0.2712),-6.222137979073691
Quadratic Equation_33_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac500ee0>>
Quadratic Equation_33_66,x/2 + 1,tensor(0.3139),-3.778719288560872
Quadratic Equation_33_67,4*acos(x),tensor(0.8721),0.9784841843981195
Quadratic Equation_33_68,x**2 + cosh(x),tensor(0.3375),-2.8535998885279175
Quadratic Equation_33_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e764065e0>>
Quadratic Equation_33_70,sinh(4*x)/2,tensor(0.2218),-11.307653265426673
Quadratic Equation_33_71,6*x + log(x),tensor(0.),0
Quadratic Equation_33_72,5/2,tensor(0.),0
Quadratic Equation_33_73,cosh(x) + 1,tensor(0.3590),-2.188750906111908
Quadratic Equation_33_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac08afa0>>
Quadratic Equation_33_75,x*(x + cos(x)),tensor(0.2949),-4.7150418623302475
Quadratic Equation_33_76,3*x + exp(x),tensor(0.2765),-5.844511801684499
Quadratic Equation_33_77,3*x**6/26,tensor(0.2922),-4.8687627125383
Quadratic Equation_33_78,-1,tensor(0.),0
Quadratic Equation_33_79,3*x + 3,tensor(0.3293),-3.1493663441502555
Quadratic Equation_33_80,4*x**4,tensor(0.3154),-3.711609996885298
Quadratic Equation_33_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac263f40>>
Quadratic Equation_33_82,3*x - log(cos(x)),tensor(0.2693),-6.365087894132266
Quadratic Equation_33_83,-log(cos(x)),tensor(0.2973),-4.588241145849117
Quadratic Equation_33_84,6*x,tensor(0.2386),-9.186548165004536
Quadratic Equation_33_85,sinh(x)**3,tensor(0.2841),-5.3515128560660195
Quadratic Equation_33_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e765c96d0>>
Quadratic Equation_33_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c08ab50>>
Quadratic Equation_33_88,exp(x) + 5,tensor(0.4503),-0.49039992484972017
Quadratic Equation_33_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac325280>>
Quadratic Equation_33_90,4*x + 5,tensor(0.3456),-2.584124501171247
Quadratic Equation_33_91,x + sin(x) + 4,tensor(0.3769),-1.7325951860264945
Quadratic Equation_33_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5002b0>>
Quadratic Equation_33_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac500eb0>>
Quadratic Equation_33_94,x + exp(2),tensor(0.4510),-0.4815184179154599
Quadratic Equation_33_95,log(22*x**5),tensor(0.),0
Quadratic Equation_33_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2abbe0>>
Quadratic Equation_33_97,4*x + 2,tensor(0.2928),-4.835661177302602
Quadratic Equation_33_98,1,tensor(0.),0
Quadratic Equation_33_99,x**2 + 4*x,tensor(0.2628),-6.870448336853389
Quadratic Equation_33_100,x**3*(4*x + 2),tensor(0.3022),-4.332470933779823
Quadratic Equation_33_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac1240a0>>
Quadratic Equation_33_102,3*x + 3,tensor(0.3293),-3.1493663441502555
Quadratic Equation_33_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5a06a0>>
Quadratic Equation_33_104,5*x + cos(x),tensor(0.2600),-7.103319013231683
Quadratic Equation_33_105,4*x**3,tensor(0.2695),-6.345194323169402
Quadratic Equation_33_106,4*sinh(x),tensor(0.2523),-7.785697495701173
Quadratic Equation_33_107,sin(x) + cos(x),tensor(0.3043),-4.2263800938425025
Quadratic Equation_33_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac181b80>>
Quadratic Equation_33_109,2*x*tanh(x),tensor(0.3086),-4.019154364280366
Quadratic Equation_33_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac0b04f0>>
Quadratic Equation_33_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac500a00>>
Quadratic Equation_33_112,2*x + exp(x),tensor(0.2882),-5.1001758569449835
Quadratic Equation_33_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac500490>>
Quadratic Equation_33_114,x**2 + sin(x),tensor(0.2931),-4.8161346625076575
Quadratic Equation_33_115,exp(x) + 31,tensor(0.1046),-72.23837635741867
Quadratic Equation_33_116,sin(x) + 6,tensor(0.4545),-0.4406968939192788
Quadratic Equation_33_117,x**2 + 3*cos(x),tensor(0.3820),-1.6182520670431662
Quadratic Equation_33_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac202760>>
Quadratic Equation_33_119,x**4/4,tensor(0.2932),-4.81124891089916
Quadratic Equation_33_120,4*x + 5,tensor(0.3456),-2.584124501171247
Quadratic Equation_33_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761178b0>>
Quadratic Equation_33_122,10*x**2,tensor(0.3808),-1.6450804900323552
Quadratic Equation_33_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c1d64c0>>
Quadratic Equation_33_124,x - cos(x),tensor(0.2648),-6.709905877547122
Quadratic Equation_33_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76343cd0>>
Quadratic Equation_33_126,(-x + exp(x))/x,tensor(0.1496),-31.327744633712264
Quadratic Equation_33_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e7627bb80>>
Quadratic Equation_34_0,4*exp(x),tensor(0.3353),-2.9309432892861875
Quadratic Equation_34_1,x*(4*x + 5),tensor(0.2711),-6.232206661040428
Quadratic Equation_34_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c10e790>>
Quadratic Equation_34_3,sin(x)**4,tensor(0.2954),-4.686681126029097
Quadratic Equation_34_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac568c40>>
Quadratic Equation_34_5,x*(x - sin(x)),tensor(0.2927),-4.841783691278379
Quadratic Equation_34_6,2*x + 5,tensor(0.3981),-1.2863994024663876
Quadratic Equation_34_7,log(2*x) + 2,tensor(0.),0
Quadratic Equation_34_8,exp(x)/24,tensor(0.2926),-4.846135468452872
Quadratic Equation_34_9,acos(x),tensor(0.3526),-2.3719537925022607
Quadratic Equation_34_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761602e0>>
Quadratic Equation_34_11,exp(x + 1),tensor(0.3358),-2.9116360171740188
Quadratic Equation_34_12,3/2,tensor(0.),0
Quadratic Equation_34_13,x + 3,tensor(0.3678),-1.95555583660893
Quadratic Equation_34_14,x + 1,tensor(0.3081),-4.0413985054779165
Quadratic Equation_34_15,x + sin(x),tensor(0.2750),-5.951419346611682
Quadratic Equation_34_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76284370>>
Quadratic Equation_34_17,4*exp(x),tensor(0.3353),-2.9309432892861875
Quadratic Equation_34_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761a3f10>>
Quadratic Equation_34_19,log(x)**2,tensor(0.),0
Quadratic Equation_34_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761a3af0>>
Quadratic Equation_34_21,4*x,tensor(0.2560),-7.443386667435416
Quadratic Equation_34_22,cos(x) + 5,tensor(0.4886),-0.09531614333609117
Quadratic Equation_34_23,x**3 + x + cos(x),tensor(0.2964),-4.633208619141044
Quadratic Equation_34_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac5004f0>>
Quadratic Equation_34_25,x**7 + 5,tensor(0.4541),-0.4452843972955982
Quadratic Equation_34_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac25d6a0>>
Quadratic Equation_34_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc1330a0>>
Quadratic Equation_34_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e764754c0>>
Quadratic Equation_34_29,x + exp(-x),tensor(0.3269),-3.239582181068325
Quadratic Equation_34_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac430610>>
Quadratic Equation_34_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c146610>>
Quadratic Equation_34_32,cos(x) + 1,tensor(0.3454),-2.592506498378366
Quadratic Equation_34_33,-x**2,tensor(0.2820),-5.482336544286912
Quadratic Equation_34_34,x*tan(4),tensor(0.2816),-5.5053936958969665
Quadratic Equation_34_35,-3*x + exp(x),tensor(0.3466),-2.5538675945359
Quadratic Equation_34_36,x**8 + 4,tensor(0.4344),-0.6956156587889526
Quadratic Equation_34_37,-2*sin(x),tensor(0.3056),-4.160773581453496
Quadratic Equation_34_38,2*x*sin(x),tensor(0.3099),-3.960761251958572
Quadratic Equation_34_39,(2*x + 2)/x,tensor(0.0900),-101.20135080705491
Quadratic Equation_34_40,-4*x**3,tensor(0.3093),-3.9844824983116593
Quadratic Equation_34_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec0b5610>>
Quadratic Equation_34_42,2*sin(x),tensor(0.2759),-5.890041463242876
Quadratic Equation_34_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e90174910>>
Quadratic Equation_34_44,sin(x)/3,tensor(0.2891),-5.045023350394313
Quadratic Equation_34_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac0d83d0>>
Quadratic Equation_34_46,2*x*exp(x),tensor(0.2854),-5.2678249941047195
Quadratic Equation_34_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc08fd60>>
Quadratic Equation_34_48,x + x*tan(1),tensor(0.2691),-6.380624237730454
Quadratic Equation_34_49,1/log(sin(x)),tensor(0.),0
Quadratic Equation_34_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac02f190>>
Quadratic Equation_34_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac02f610>>
Quadratic Equation_34_52,x*cosh(4),tensor(0.1259),-47.21695237400644
Quadratic Equation_34_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac02fa00>>
Quadratic Equation_34_54,cos(1)/x,tensor(0.2101),-13.141722288534895
Quadratic Equation_34_55,4*x**3,tensor(0.2695),-6.345194323169402
Quadratic Equation_34_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac202910>>
Quadratic Equation_34_57,atanh(2*x),tensor(0.),0
Quadratic Equation_34_58,sin(x + 2),tensor(0.3158),-3.6946103369209524
Quadratic Equation_34_59,x**2*sinh(x),tensor(0.2857),-5.2500528943959734
Quadratic Equation_34_60,-x**2,tensor(0.2820),-5.482336544286912
Quadratic Equation_34_61,sqrt(2)*x**3,tensor(0.2841),-5.348114372450585
Quadratic Equation_34_62,x*cos(x),tensor(0.2856),-5.2586865656141
Quadratic Equation_34_63,cos(x) + 1,tensor(0.3454),-2.592506498378366
Quadratic Equation_34_64,4*x**4,tensor(0.3154),-3.711609996885298
Quadratic Equation_34_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac1814f0>>
Quadratic Equation_34_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac579a00>>
Quadratic Equation_34_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc135b20>>
Quadratic Equation_34_68,4*cos(x)**2,tensor(0.3735),-1.8130180918935297
Quadratic Equation_34_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e7647ac10>>
Quadratic Equation_34_70,4*x**8,tensor(0.3042),-4.230152380855761
Quadratic Equation_34_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e7634ae20>>
Quadratic Equation_34_72,x + 2,tensor(0.3365),-2.8878070671055656
Quadratic Equation_34_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac1ae760>>
Quadratic Equation_34_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2ab9a0>>
Quadratic Equation_34_75,x**2/2 + x + sin(x),tensor(0.2791),-5.668339896223379
Quadratic Equation_34_76,-2*sin(x),tensor(0.3056),-4.160773581453496
Quadratic Equation_34_77,-sinh(x),tensor(0.3006),-4.41445324053202
Quadratic Equation_34_78,x**2*cosh(4),tensor(0.2591),-7.177014202184022
Quadratic Equation_34_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2ab790>>
Quadratic Equation_34_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc133820>>
Quadratic Equation_34_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc133850>>
Quadratic Equation_34_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc133400>>
Quadratic Equation_34_83,x*acos(4),tensor(0.),0
Quadratic Equation_34_84,x**(3/4),tensor(0.),0
Quadratic Equation_34_85,10*x**2,tensor(0.3808),-1.6450804900323552
Quadratic Equation_34_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc08fa90>>
Quadratic Equation_34_87,sin(8*x),tensor(0.2899),-5.000345089984485
Quadratic Equation_34_88,x*atan(x),tensor(0.3002),-4.4356334317157025
Quadratic Equation_34_89,2*log(cos(x)) + sin(x),tensor(0.2738),-6.035820118594236
Quadratic Equation_34_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76475490>>
Quadratic Equation_34_91,x**8/2,tensor(0.2933),-4.803179381668908
Quadratic Equation_34_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e765c9d30>>
Quadratic Equation_34_93,x**4/2,tensor(0.2947),-4.726737314157169
Quadratic Equation_34_94,(2*x + 3)**acos(x),tensor(0.3962),-1.322723447599345
Quadratic Equation_34_95,5*x**3,tensor(0.2638),-6.7907394340711855
Quadratic Equation_34_96,exp(x) + 2,tensor(0.3724),-1.8400863021469323
Quadratic Equation_34_97,8*x + 2,tensor(0.2447),-8.529813354767908
Quadratic Equation_34_98,x*sin(x) - 2*x,tensor(0.3174),-3.6232300958117802
Quadratic Equation_34_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76548a60>>
Quadratic Equation_34_100,x,tensor(0.2830),-5.416330151725984
Quadratic Equation_34_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e7634ad90>>
Quadratic Equation_34_102,x + exp(x) + 6,tensor(0.4147),-0.9916022258907329
Quadratic Equation_34_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c17e4f0>>
Quadratic Equation_34_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac181700>>
Quadratic Equation_34_105,12*x**2 + x,tensor(0.3670),-1.9747474855682512
Quadratic Equation_34_106,x**2*(x + 4),tensor(0.3249),-3.316850762062372
Quadratic Equation_34_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761cd9d0>>
Quadratic Equation_34_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761cd910>>
Quadratic Equation_34_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761cd3a0>>
Quadratic Equation_34_110,2*x**4,tensor(0.3038),-4.253274741128422
Quadratic Equation_34_111,x**4*tan(1) + x,tensor(0.2917),-4.896342965168822
Quadratic Equation_34_112,x*sin(1),tensor(0.2844),-5.328832068276668
Quadratic Equation_34_113,x - log(cos(x)),tensor(0.2882),-5.102165297857601
Quadratic Equation_34_114,2*x*(x**2 + 1),tensor(0.2629),-6.8596123028958065
Quadratic Equation_34_115,sin(x + 1),tensor(0.3053),-4.177599482533831
Quadratic Equation_34_116,log(3*x + 2),tensor(0.),0
Quadratic Equation_34_117,x*(1 - x),tensor(0.2741),-6.010103223764757
Quadratic Equation_34_118,(x + 2)**4,tensor(0.0922),-96.04574830668365
Quadratic Equation_34_119,(x - 1)*exp(x),tensor(0.2711),-6.227016743859199
Quadratic Equation_34_120,-5/x,tensor(0.0397),-585.0279050707946
Quadratic Equation_34_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac263ac0>>
Quadratic Equation_34_122,x**2*tan(2),tensor(0.2710),-6.236699712236317
Quadratic Equation_34_123,2*x + 2*sin(x),tensor(0.2578),-7.289380398191334
Quadratic Equation_34_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76406070>>
Quadratic Equation_34_125,x**6/2 + exp(x),tensor(0.3146),-3.7452828974693153
Quadratic Equation_34_126,cosh(2*x),tensor(0.3483),-2.5000158164968833
Quadratic Equation_34_127,x**3 + x**2,tensor(0.2958),-4.665247793113821
Quadratic Equation_35_0,x**2 + acos(x),tensor(0.3673),-1.9679467716415737
Quadratic Equation_35_1,acos(x**5),tensor(0.3435),-2.653267376166121
Quadratic Equation_35_2,-5*sin(x),tensor(0.3195),-3.536067745467591
Quadratic Equation_35_3,x - sin(x),tensor(0.2908),-4.94526429735039
Quadratic Equation_35_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76284cd0>>
Quadratic Equation_35_5,exp(x + sinh(x)),tensor(0.3040),-4.2395482977660475
Quadratic Equation_35_6,x + 4,tensor(0.4003),-1.2446448139880113
Quadratic Equation_35_7,x*cos(2*x),tensor(0.2913),-4.917495656614213
Quadratic Equation_35_8,(2 - x)**cos(x),tensor(0.3515),-2.4034902930522337
Quadratic Equation_35_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2ebc40>>
Quadratic Equation_35_10,x**4/9,tensor(0.2924),-4.858891300188399
Quadratic Equation_35_11,x**3*cos(4),tensor(0.2950),-4.71162029988915
Quadratic Equation_35_12,5*sin(x),tensor(0.2515),-7.859237449941045
Quadratic Equation_35_13,x + atanh(x),tensor(0.2698),-6.3268272954517535
Quadratic Equation_35_14,sin(x),tensor(0.2839),-5.36168948203037
Quadratic Equation_35_15,atanh(x + 6),tensor(0.),0
Quadratic Equation_35_16,sin(x),tensor(0.2839),-5.36168948203037
Quadratic Equation_35_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76160f10>>
Quadratic Equation_35_18,x + 4,tensor(0.4003),-1.2446448139880113
Quadratic Equation_35_19,(2*x**2 + x)/x,tensor(0.2966),-4.625525512376428
Quadratic Equation_35_20,2*x - 3,tensor(0.2204),-11.506094948297918
Quadratic Equation_35_21,x**2*cos(4),tensor(0.2853),-5.274380548888962
Quadratic Equation_35_22,(x - 1)*exp(x),tensor(0.2711),-6.227016743859199
Quadratic Equation_35_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761a3910>>
Quadratic Equation_35_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761a3c10>>
Quadratic Equation_35_25,4*cos(x),tensor(0.3957),-1.3324371075226304
Quadratic Equation_35_26,2*acosh(x),tensor(0.),0
Quadratic Equation_35_27,cos(x + 1),tensor(0.3105),-3.9313603825225334
Quadratic Equation_35_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2ebb80>>
Quadratic Equation_35_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c17e460>>
Quadratic Equation_35_30,2*x + exp(x),tensor(0.2882),-5.1001758569449835
Quadratic Equation_35_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761179a0>>
Quadratic Equation_35_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e764aa7c0>>
Quadratic Equation_35_33,x*asin(x) - x,tensor(0.3125),-3.840138454608515
Quadratic Equation_35_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac08aa90>>
Quadratic Equation_35_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac325700>>
Quadratic Equation_35_36,log(x + 2)/x,tensor(0.1904),-17.090624753202157
Quadratic Equation_35_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e90174b20>>
Quadratic Equation_35_38,x*(x**7 + x),tensor(0.3050),-4.194865570423888
Quadratic Equation_35_39,exp(x + 2),tensor(0.2753),-5.932501353853494
Quadratic Equation_35_40,x**5/12 + exp(x),tensor(0.3119),-3.8664842913115667
Quadratic Equation_35_41,log(cos(x + 1)),tensor(0.),0
