 Nguyen-2_0_0,2*asin(x) + atanh(x),tensor(0.4083),-1.0999443294539586
 Nguyen-2_60_77,x/(x**2 + x),tensor(0.1552),-28.623957698552942
 Nguyen-2_60_78,x**2 - x + sin(x),tensor(0.5102),0.07830436055148038
 Nguyen-2_60_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6da57730>>
 Nguyen-2_60_80,atanh(2*x),tensor(0.),0
 Nguyen-2_60_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e764aaa60>>
 Nguyen-2_60_82,2*x**3 - 2*x,tensor(0.4132),-1.0160870689169839
 Nguyen-2_60_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2feb50>>
 Nguyen-2_60_84,3*x + log(x),tensor(0.),0
 Nguyen-2_60_85,8*x**2 + x,tensor(0.2728),-6.105124858964827
 Nguyen-2_60_86,(x + 5)*sin(x),tensor(0.3775),-1.720063500269386
 Nguyen-2_60_87,5*sinh(x),tensor(0.3044),-4.221190873956218
 Nguyen-2_60_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e687bb820>>
 Nguyen-2_60_89,5*x**2 + x*exp(-1),tensor(0.3864),-1.5220051835935133
 Nguyen-2_60_90,x*(x*cos(1) + x),tensor(0.5310),0.21976585532165627
 Nguyen-2_60_91,(x + 4)**3,tensor(0.0159),-3836.8567811673975
 Nguyen-2_60_92,atanh(2*x),tensor(0.),0
 Nguyen-2_60_93,x - tan(x) + 1,tensor(0.4461),-0.5417524009266139
 Nguyen-2_60_94,x + log(x + 1),tensor(0.4388),-0.6358210621295222
 Nguyen-2_60_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c046b50>>
 Nguyen-2_60_96,x*(x + exp(x)),tensor(0.7936),0.9323750707022882
 Nguyen-2_60_97,x**2 + x + 1/tan(1),tensor(0.6304),0.6561477980000721
 Nguyen-2_60_98,x*(4 - x) - x,tensor(0.4108),-1.0569204692407226
 Nguyen-2_60_99,x + 1,tensor(0.5804),0.47753345080581255
 Nguyen-2_60_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac49d760>>
 Nguyen-2_60_101,-sin(x - 1),tensor(0.4359),-0.674771091823513
 Nguyen-2_60_102,x**2,tensor(0.5240),0.17513510863725734
 Nguyen-2_60_103,x*(x + 4*sinh(x)),tensor(0.3482),-2.5037593523189776
 Nguyen-2_60_104,2*x**2 + 2*x,tensor(0.7934),0.9322282584440574
 Nguyen-2_60_105,2*x**2 + 3*x,tensor(0.5727),0.44314214640844773
 Nguyen-2_60_106,x*(2*x + 2),tensor(0.7934),0.9322282584440574
 Nguyen-2_60_107,x + 1,tensor(0.5804),0.47753345080581255
 Nguyen-2_60_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c046940>>
 Nguyen-2_60_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac17d0a0>>
 Nguyen-2_60_110,(x + 1)/x**2,tensor(0.0115),-7375.067055714379
 Nguyen-2_60_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6df835e0>>
 Nguyen-2_60_112,2*x + sin(x),tensor(0.4839),-0.13739060583028206
 Nguyen-2_60_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e764e4670>>
 Nguyen-2_60_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69c591c0>>
 Nguyen-2_60_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68d020a0>>
 Nguyen-2_60_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc03f910>>
 Nguyen-2_60_117,x*(x + 2) + x,tensor(0.5426),0.2892624114319444
 Nguyen-2_60_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68d02d60>>
 Nguyen-2_60_119,5*x + exp(x),tensor(0.2923),-4.864427667774617
 Nguyen-2_60_120,x**2*sin(1),tensor(0.5193),0.14286646078377507
 Nguyen-2_60_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f62f10>>
 Nguyen-2_60_122,x*(x - 1)*exp(x),tensor(0.4349),-0.6889248881340677
 Nguyen-2_60_123,(x + 1)/x,tensor(0.1731),-21.81046552400815
 Nguyen-2_60_124,(x + 2)**2,tensor(0.2267),-10.63623936210111
 Nguyen-2_60_125,2*x - 1,tensor(0.3916),-1.414371521798222
 Nguyen-2_60_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76191580>>
 Nguyen-2_60_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac1aedf0>>
 Nguyen-2_61_0,x*(3*x + 3),tensor(0.5360),0.2508807444783978
 Nguyen-2_61_1,6*x**2,tensor(0.3261),-3.271060529351975
 Nguyen-2_61_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68941d30>>
 Nguyen-2_61_3,x**2*log(2),tensor(0.5138),0.10479802718455689
 Nguyen-2_61_4,x - exp(-x),tensor(0.3610),-2.133022395508102
 Nguyen-2_61_5,x*exp(-1),tensor(0.5133),0.10100196989346444
 Nguyen-2_61_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2abc10>>
 Nguyen-2_61_7,sin(4*x),tensor(0.4554),-0.42984880832379546
 Nguyen-2_61_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eec040f10>>
 Nguyen-2_61_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68f628b0>>
 Nguyen-2_61_10,1/log(x + 3),tensor(0.4493),-0.5020257987451984
 Nguyen-2_61_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69361130>>
 Nguyen-2_61_12,x/(x + 2),tensor(0.5066),0.05170977951088318
 Nguyen-2_61_13,x*cosh(5),tensor(0.0249),-1526.7329764791207
 Nguyen-2_61_14,x**3 - pi,tensor(0.2318),-9.982327754569491
 Nguyen-2_61_15,x**4,tensor(0.5187),0.13886466317124735
 Nguyen-2_61_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac0efac0>>
 Nguyen-2_61_17,log(x + 3),tensor(0.5002),0.0017737698593646156
 Nguyen-2_61_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac49d400>>
 Nguyen-2_61_19,x**2 + x + 3,tensor(0.2832),-5.403550572257326
 Nguyen-2_61_20,2*x - exp(x),tensor(0.3677),-1.9569350937791352
 Nguyen-2_61_21,x + tan(4*x),tensor(0.0232),-1766.150285940806
 Nguyen-2_61_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac20fdf0>>
 Nguyen-2_61_23,x**2*(2*x + 1),tensor(0.7207),0.8498868514345732
 Nguyen-2_61_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac20f2e0>>
 Nguyen-2_61_25,2*x + exp(x),tensor(0.5092),0.07101114133168696
 Nguyen-2_61_26,x*(x*sin(x) + x),tensor(0.6111),0.594912399456279
 Nguyen-2_61_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e760b9430>>
 Nguyen-2_61_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e760b9760>>
 Nguyen-2_61_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6969e700>>
 Nguyen-2_61_30,tan(2*x + 3),tensor(0.1336),-41.0330169747795
 Nguyen-2_61_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6deb91f0>>
 Nguyen-2_61_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6deb98e0>>
 Nguyen-2_61_33,x + exp(x) - 1,tensor(0.6239),0.6367309732412831
 Nguyen-2_61_34,sinh(x + 5),tensor(0.0117),-7132.488176625221
 Nguyen-2_61_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68d02490>>
 Nguyen-2_61_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6895d0a0>>
 Nguyen-2_61_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac40e430>>
 Nguyen-2_61_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c162b50>>
 Nguyen-2_61_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69361be0>>
 Nguyen-2_61_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c1626d0>>
 Nguyen-2_61_41,1,tensor(0.),0
 Nguyen-2_61_42,2 - 2*x,tensor(0.2859),-5.236281215998755
 Nguyen-2_61_43,x/(x + cos(x)),tensor(0.2688),-6.397208916400138
 Nguyen-2_61_44,x*(x + exp(x)),tensor(0.7936),0.9323750707022882
 Nguyen-2_61_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2fe850>>
 Nguyen-2_61_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e698e57f0>>
 Nguyen-2_61_47,x*cos(x) - 2*x,tensor(0.3753),-1.7714664370627475
 Nguyen-2_61_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68db4490>>
 Nguyen-2_61_49,1 - 1/x,tensor(0.1678),-23.612108434209162
 Nguyen-2_61_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76142040>>
 Nguyen-2_61_51,x + acos(x),tensor(0.4055),-1.149495315499661
 Nguyen-2_61_52,4*x**7 + x,tensor(0.5100),0.07722186576589363
 Nguyen-2_61_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6915cee0>>
 Nguyen-2_61_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e764aa4c0>>
 Nguyen-2_61_55,5*x**2 + x,tensor(0.4099),-1.0729738327735499
 Nguyen-2_61_56,x*(x + 5),tensor(0.3476),-2.521689766142862
 Nguyen-2_61_57,2*x + sin(x),tensor(0.4839),-0.13739060583028206
 Nguyen-2_61_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e764aa820>>
 Nguyen-2_61_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c0aaa90>>
 Nguyen-2_61_60,sinh(2*x),tensor(0.4869),-0.11049813595900937
 Nguyen-2_61_61,-2*x**2,tensor(0.3695),-1.910841151447845
 Nguyen-2_61_62,-2*x**2 + x + 2,tensor(0.4464),-0.5374910473538383
 Nguyen-2_61_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69d13c70>>
 Nguyen-2_61_64,(x + 1)/x**2,tensor(0.0115),-7375.067055714379
 Nguyen-2_61_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c046160>>
 Nguyen-2_61_66,x + 1/x,tensor(0.1735),-21.705399096967717
 Nguyen-2_61_67,sin(2*x),tensor(0.5580),0.37233720557538375
 Nguyen-2_61_68,1,tensor(0.),0
 Nguyen-2_61_69,x**3*(x + 2),tensor(0.6870),0.7923569409219587
 Nguyen-2_61_70,4*x*sinh(x),tensor(0.3975),-1.2980435235865118
 Nguyen-2_61_71,x*(x + log(tan(x)) + 1),tensor(0.),0
 Nguyen-2_61_72,x*(2*x + 3),tensor(0.5727),0.44314214640844796
 Nguyen-2_61_73,sin(x) - cos(x),tensor(0.4274),-0.7951996500205862
 Nguyen-2_61_74,x*cos(x + 2),tensor(0.4167),-0.9591030802251872
 Nguyen-2_61_75,(x + 1)**2,tensor(0.5789),0.47076079942641536
 Nguyen-2_61_76,x/(x + 3),tensor(0.5036),0.028310953682096462
 Nguyen-2_61_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76142a30>>
 Nguyen-2_61_78,3*x**2 + x,tensor(0.5988),0.5510878334878685
 Nguyen-2_61_79,x**2 - tanh(x),tensor(0.4281),-0.7846394281433378
 Nguyen-2_61_80,5*x**2 + 1,tensor(0.2930),-4.82329370685505
 Nguyen-2_61_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac0ef190>>
 Nguyen-2_61_82,x**2 + x + exp(x),tensor(0.5365),0.25340357954157866
 Nguyen-2_61_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac40e7c0>>
 Nguyen-2_61_84,tanh(x - 1),tensor(0.4393),-0.6291118617304972
 Nguyen-2_61_85,8*x**2,tensor(0.2603),-7.072526742893544
 Nguyen-2_61_86,-1/x**4,tensor(3.0294e-05),-1089604728.1294048
 Nguyen-2_61_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6969ec10>>
 Nguyen-2_61_88,x**3 + 3,tensor(0.3000),-4.443638753866614
 Nguyen-2_61_89,x**2*exp(x),tensor(0.6622),0.739791835631056
 Nguyen-2_61_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76191160>>
 Nguyen-2_61_91,x**2*log(x),tensor(0.),0
 Nguyen-2_61_92,x*(x - 1),tensor(0.4131),-1.0177221440694781
 Nguyen-2_61_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e764e4070>>
 Nguyen-2_61_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1ecc03ff10>>
 Nguyen-2_61_95,x*(2 - x),tensor(0.4565),-0.41699776844387015
 Nguyen-2_61_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac0ef970>>
 Nguyen-2_61_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac0efd90>>
 Nguyen-2_61_98,x**5*(x + 1/x)**4,tensor(0.2028),-14.445932059751364
 Nguyen-2_61_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e761a3130>>
 Nguyen-2_61_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac3dcf10>>
 Nguyen-2_61_101,x**2 + 3*x,tensor(0.5426),0.2892624114319443
 Nguyen-2_61_102,2*x + tan(1),tensor(0.5048),0.03771975558026919
 Nguyen-2_61_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6df83670>>
 Nguyen-2_61_104,x*(x**2 + x),tensor(0.6235),0.63540476784599
 Nguyen-2_61_105,-x**2,tensor(0.4224),-0.8693745945129236
 Nguyen-2_61_106,x + cos(1),tensor(0.6228),0.6332466520843187
 Nguyen-2_61_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6df83bb0>>
 Nguyen-2_61_108,x*(3*x + exp(x)),tensor(0.4922),-0.06443071679380785
 Nguyen-2_61_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c0740a0>>
 Nguyen-2_61_110,x*(x + 2) + x,tensor(0.5426),0.2892624114319444
 Nguyen-2_61_111,tanh(x) + 1,tensor(0.5635),0.4000363522772382
 Nguyen-2_61_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e696e45b0>>
 Nguyen-2_61_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60a83e50>>
 Nguyen-2_61_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6df3d6a0>>
 Nguyen-2_61_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e60dc7d30>>
 Nguyen-2_61_116,x*(tan(x) - 1),tensor(0.4162),-0.9669892405001292
 Nguyen-2_61_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac2eb370>>
 Nguyen-2_61_118,-x**2,tensor(0.4224),-0.8693745945129236
 Nguyen-2_61_119,cos(x + 2),tensor(0.3960),-1.3264190333213328
 Nguyen-2_61_120,3*x**3 + 8*x,tensor(0.1808),-19.542214817232228
 Nguyen-2_61_121,6/x,tensor(0.0342),-798.026486285431
 Nguyen-2_61_122,x*sin(1),tensor(0.5518),0.34003817876113573
 Nguyen-2_61_123,2*x + sin(x),tensor(0.4839),-0.13739060583028206
 Nguyen-2_61_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6dbe4970>>
 Nguyen-2_61_125,log(5/x**2),tensor(0.2436),-8.643721367123582
 Nguyen-2_61_126,x*(x + 5*log(x)),tensor(0.),0
 Nguyen-2_61_127,1/(1 - x),tensor(0.2445),-8.549834029481785
 Nguyen-2_62_0,x*tan(5) + x,tensor(0.3124),-3.8427517538142846
 Nguyen-2_62_1,x**2 + x + 2,tensor(0.3755),-1.7651226538330116
 Nguyen-2_62_2,x**2 - tan(x),tensor(0.3879),-1.4904355366597684
 Nguyen-2_62_3,x*sin(x + 5),tensor(0.4290),-0.7710818234231893
 Nguyen-2_62_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac3dc220>>
 Nguyen-2_62_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6915cd60>>
 Nguyen-2_62_6,x + cos(1)/x,tensor(0.2748),-5.961580130664045
 Nguyen-2_62_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f2c046250>>
 Nguyen-2_62_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e90172b50>>
 Nguyen-2_62_9,5*x**3 + x,tensor(0.3831),-1.5930863287657422
 Nguyen-2_62_10,5*x*(x + 2),tensor(0.1802),-19.707219591207675
 Nguyen-2_62_11,(2*x + 2)/x,tensor(0.0939),-92.13542647538483
 Nguyen-2_62_12,log(6*x - 1),tensor(0.),0
 Nguyen-2_62_13,x + cos(x + 3),tensor(0.4290),-0.7714321388043652
 Nguyen-2_62_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e7650b880>>
 Nguyen-2_62_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c0ec7f0>>
 Nguyen-2_62_16,tan(3*x),tensor(0.2794),-5.649162885451978
 Nguyen-2_62_17,log(x + 2),tensor(0.5549),0.3564658412397591
 Nguyen-2_62_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68d02e50>>
 Nguyen-2_62_19,2*cosh(x),tensor(0.3423),-2.6926724564011346
 Nguyen-2_62_20,x*(x - 4),tensor(0.2494),-8.0607383575152
 Nguyen-2_62_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c0aa280>>
 Nguyen-2_62_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac40e6a0>>
 Nguyen-2_62_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69c59550>>
 Nguyen-2_62_24,8 - x,tensor(0.1263),-46.81945140201858
 Nguyen-2_62_25,x**3 + x**2 + x,tensor(0.7641),0.9047134744252519
 Nguyen-2_62_26,x + 2,tensor(0.4136),-1.0097709814334004
 Nguyen-2_62_27,x*(1 - x),tensor(0.4621),-0.3544824768679369
 Nguyen-2_62_28,x**2*(x + sin(x)),tensor(0.5749),0.45332818421952104
 Nguyen-2_62_29,2*x + 2*cos(x)**2,tensor(0.4698),-0.2738627956997157
 Nguyen-2_62_30,x*(x + 5),tensor(0.3476),-2.521689766142862
 Nguyen-2_62_31,-5*sin(x),tensor(0.2325),-9.89545939260188
 Nguyen-2_62_32,x*(3 - 2*x),tensor(0.3568),-2.2492236149368865
 Nguyen-2_62_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76191a90>>
 Nguyen-2_62_34,6*x**2 + x + 4,tensor(0.1630),-25.358644075451373
 Nguyen-2_62_35,4*x - 1,tensor(0.3219),-3.4373249618408153
 Nguyen-2_62_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6daeca00>>
 Nguyen-2_62_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac40e1c0>>
 Nguyen-2_62_38,x**3*cos(x) + x,tensor(0.5800),0.4757525199253342
 Nguyen-2_62_39,3*x**4,tensor(0.5268),0.19297318503436667
 Nguyen-2_62_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac3dc5e0>>
 Nguyen-2_62_41,3*atan(x),tensor(0.5101),0.0772908806514494
 Nguyen-2_62_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6dbe4ee0>>
 Nguyen-2_62_43,log(x) - tan(x),tensor(0.),0
 Nguyen-2_62_44,-cos(x - 1),tensor(0.3940),-1.3657315107558445
 Nguyen-2_62_45,log(x + 3),tensor(0.5002),0.0017737698593646156
 Nguyen-2_62_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e76142dc0>>
 Nguyen-2_62_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68db4580>>
 Nguyen-2_62_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6da57850>>
 Nguyen-2_62_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6da57880>>
 Nguyen-2_62_50,x**2 + log(x),tensor(0.),0
 Nguyen-2_62_51,-3*x,tensor(0.2844),-5.334006571506277
 Nguyen-2_62_52,x + cos(2),tensor(0.4871),-0.10855326058980719
 Nguyen-2_62_53,2*x**3 + x,tensor(0.5508),0.33480127900265777
 Nguyen-2_62_54,-2*x**2 + x,tensor(0.3900),-1.446227896723272
 Nguyen-2_62_55,2*x*acosh(x),tensor(0.),0
 Nguyen-2_62_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69c59c70>>
 Nguyen-2_62_57,3*sin(x + 2),tensor(0.2973),-4.588784775232344
 Nguyen-2_62_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e695a5a00>>
 Nguyen-2_62_59,x**2*(x + exp(x)),tensor(0.7859),0.9258163162235284
 Nguyen-2_62_60,2*x*sin(1),tensor(0.5731),0.44527869402328535
 Nguyen-2_62_61,3*x*acos(x),tensor(0.2540),-7.6235253101325355
 Nguyen-2_62_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e699c20a0>>
 Nguyen-2_62_63,x**4 + 2,tensor(0.3578),-2.220568753224902
 Nguyen-2_62_64,2*x - 2/x,tensor(0.0962),-87.2237622934372
 Nguyen-2_62_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e7650b160>>
 Nguyen-2_62_66,7*x**3,tensor(0.3568),-2.2494656342649484
 Nguyen-2_62_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac0efd30>>
 Nguyen-2_62_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac0ef2e0>>
 Nguyen-2_62_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac0efb80>>
 Nguyen-2_62_70,2*x*cos(x) + x,tensor(0.5174),0.13031212206830622
 Nguyen-2_62_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6da17b20>>
 Nguyen-2_62_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6da17eb0>>
 Nguyen-2_62_73,-tanh(x),tensor(0.4089),-1.0890659881334437
 Nguyen-2_62_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac20f0a0>>
 Nguyen-2_62_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69d13eb0>>
 Nguyen-2_62_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e69d13e20>>
 Nguyen-2_62_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c0aa8e0>>
 Nguyen-2_62_78,x**2 + 3*x,tensor(0.5426),0.2892624114319443
 Nguyen-2_62_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6954f850>>
 Nguyen-2_62_80,-x + exp(x),tensor(0.4782),-0.19021673255028437
 Nguyen-2_62_81,x - cos(x),tensor(0.4295),-0.7639061633804751
 Nguyen-2_62_82,x*(-x*log(x) + x),tensor(0.),0
 Nguyen-2_62_83,x*sin(5),tensor(0.3996),-1.2583237193640318
 Nguyen-2_62_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e7650b670>>
 Nguyen-2_62_85,2*x*(x + 3),tensor(0.2992),-4.488560645023898
 Nguyen-2_62_86,-2*x**2*cos(x),tensor(0.4054),-1.1519765720592003
 Nguyen-2_62_87,sin(x) - tan(x),tensor(0.4425),-0.5879186615148135
 Nguyen-2_62_88,1 - tanh(x),tensor(0.3998),-1.254357140018056
 Nguyen-2_62_89,log(x) - 1/x,tensor(0.),0
 Nguyen-2_62_90,x + 4,tensor(0.2430),-8.70552807680437
 Nguyen-2_62_91,2*x + 3,tensor(0.3160),-3.6836403866891176
 Nguyen-2_62_92,x**2 + 2*x,tensor(0.7072),0.8286273863879683
 Nguyen-2_62_93,x*(x + 6),tensor(0.2935),-4.793276968761646
 Nguyen-2_62_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e68ebdfa0>>
 Nguyen-2_62_95,x + exp(x**2),tensor(0.5211),0.15531772592385573
 Nguyen-2_62_96,8*x**3,tensor(0.3197),-3.5291040024284595
 Nguyen-2_62_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c1d6fa0>>
 Nguyen-2_62_98,2 - x,tensor(0.3266),-3.2500370619227166
 Nguyen-2_62_99,x + x*exp(-x),tensor(0.4375),-0.6529543591079678
 Nguyen-2_62_100,10*log(x)**2,tensor(0.),0
 Nguyen-2_62_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6969ee50>>
 Nguyen-2_62_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e90172880>>
 Nguyen-2_62_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e90172e50>>
 Nguyen-2_62_104,(x + 1)**2,tensor(0.5789),0.47076079942641536
 Nguyen-2_62_105,exp(x + 3),tensor(0.0430),-493.87354728826705
 Nguyen-2_62_106,exp(3)/x,tensor(0.0104),-9033.974886217033
 Nguyen-2_62_107,x + sin(1),tensor(0.6036),0.5687996454079167
 Nguyen-2_62_108,5*cosh(x),tensor(0.1679),-23.55602167076452
 Nguyen-2_62_109,log(x**3),tensor(0.),0
 Nguyen-2_62_110,1/sinh(x),tensor(0.1771),-20.58429932212673
 Nguyen-2_62_111,x*(x + sin(x) + 1),tensor(0.7220),0.8517959386602809
 Nguyen-2_62_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e696e4f40>>
 Nguyen-2_62_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6da578b0>>
 Nguyen-2_62_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1e6da576a0>>
 Nguyen-2_62_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1f0c0eccd0>>
 Nguyen-2_62_116,log(8*x**4),tensor(0.2563),-7.4215306302504835
 Nguyen-2_62_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f1eac0d8280>>
