Absolute Value_0_0,x + tan(x),tensor(0.1743),-21.433991330247977
Absolute Value_12_37,x*log(x**2) - x,tensor(0.2166),-12.078178251823402
Absolute Value_12_38,-x**3/9,tensor(0.2183),-11.82907183171947
Absolute Value_12_39,exp(5*x),tensor(0.0168),-3425.5667529181196
Absolute Value_12_40,x*(x + 2*sqrt(3)),tensor(0.1432),-34.81046947079221
Absolute Value_12_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1ecc10>>
Absolute Value_12_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc065dc0>>
Absolute Value_12_43,4*x**2 + x,tensor(0.1350),-40.07207127276966
Absolute Value_12_44,x*(x + cosh(x)),tensor(0.1769),-20.659513056666526
Absolute Value_12_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4808db20>>
Absolute Value_12_46,-x**2 + 4*x,tensor(0.1479),-32.19791838685754
Absolute Value_12_47,x*(x + cos(3)),tensor(0.1967),-15.687827010235189
Absolute Value_12_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc060f10>>
Absolute Value_12_49,-34*x**4 + 3*x,tensor(0.0520),-331.4994629200791
Absolute Value_12_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d277e1310>>
Absolute Value_12_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc1034f0>>
Absolute Value_12_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc050fa0>>
Absolute Value_12_53,x**3/6,tensor(0.2162),-12.145587312504642
Absolute Value_12_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0d3b20>>
Absolute Value_12_55,1/(x + 2*sin(x)),tensor(0.0104),-9103.660934735111
Absolute Value_12_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc174190>>
Absolute Value_12_57,x + sinh(x**2),tensor(0.1801),-19.732915983806734
Absolute Value_12_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d274723d0>>
Absolute Value_12_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d8c09b970>>
Absolute Value_12_60,x + cos(x) + 2,tensor(0.1040),-73.26311265401235
Absolute Value_12_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc069910>>
Absolute Value_12_62,x*(x + exp(-x)),tensor(0.1963),-15.765029820234894
Absolute Value_12_63,x*(x**2 + x),tensor(0.1865),-18.020938566519728
Absolute Value_12_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0693d0>>
Absolute Value_12_65,x*cos(1),tensor(0.2095),-13.244574191555712
Absolute Value_12_66,x + sin(x) + cos(x),tensor(0.1495),-31.354786540148353
Absolute Value_12_67,x**4/3,tensor(0.2123),-12.773964530888975
Absolute Value_12_68,x**8/(x - 2),tensor(0.2236),-11.05194261485807
Absolute Value_12_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc050190>>
Absolute Value_12_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d481348b0>>
Absolute Value_12_71,x*(x + 4/x),tensor(0.0830),-120.9366809729463
Absolute Value_12_72,-x + log(2*x**2),tensor(0.2124),-12.75733382456078
Absolute Value_12_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4808dac0>>
Absolute Value_12_74,sin(x) - 1,tensor(0.2815),-5.514649785616878
Absolute Value_12_75,-x**2/2 + exp(atan(x)),tensor(0.1549),-28.77166160083638
Absolute Value_12_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2767e6a0>>
Absolute Value_12_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c1c8820>>
Absolute Value_12_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d941e2be0>>
Absolute Value_12_79,x**3*acos(x),tensor(0.2143),-12.445481218568895
Absolute Value_12_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940cb250>>
Absolute Value_12_81,x*exp(-2*x),tensor(0.1859),-18.177790005727978
Absolute Value_12_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d22fe2eb0>>
Absolute Value_12_83,-x + cos(3),tensor(0.3629),-2.08293164792777
Absolute Value_12_84,2*x*cos(x),tensor(0.1919),-16.734000659766753
Absolute Value_12_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754d100>>
Absolute Value_12_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2753b0a0>>
Absolute Value_12_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40169a60>>
Absolute Value_12_88,x**2,tensor(0.1929),-16.50728643647005
Absolute Value_12_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40169670>>
Absolute Value_12_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2753b790>>
Absolute Value_12_91,2*x*acos(x),tensor(0.1716),-22.295347749248723
Absolute Value_12_92,2*x - atan(x),tensor(0.1981),-15.386146890658868
Absolute Value_12_93,x*cos(x**2),tensor(0.2048),-14.084952768470943
Absolute Value_12_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0eef40>>
Absolute Value_12_95,x + x*atan(5),tensor(0.1725),-21.996747020078228
Absolute Value_12_96,cos(2*x + 3),tensor(0.2569),-7.370881264766135
Absolute Value_12_97,cos(6*x),tensor(0.2115),-12.89931936448658
Absolute Value_12_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271971f0>>
Absolute Value_12_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc18ed30>>
Absolute Value_12_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d402b9160>>
Absolute Value_12_101,x**2 + x*cos(x) + 2*x,tensor(0.1547),-28.853299097751503
Absolute Value_12_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1ec700>>
Absolute Value_12_103,log(x**2/4),tensor(0.1849),-18.431711068091207
Absolute Value_12_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4014b0d0>>
Absolute Value_12_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4808de20>>
Absolute Value_12_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc065160>>
Absolute Value_12_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0db6a0>>
Absolute Value_12_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0dbeb0>>
Absolute Value_12_109,x*log(x*tanh(x)) - x,tensor(0.2153),-12.280707138926843
Absolute Value_12_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc174fd0>>
Absolute Value_12_111,x**5/125,tensor(0.2174),-11.954154438780144
Absolute Value_12_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2753afa0>>
Absolute Value_12_113,cos(10*x),tensor(0.2117),-12.871361743996607
Absolute Value_12_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c0af8e0>>
Absolute Value_12_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0eef70>>
Absolute Value_12_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d8c09bdc0>>
Absolute Value_12_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d8c09bd90>>
Absolute Value_12_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27727dc0>>
Absolute Value_12_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d277273d0>>
Absolute Value_12_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d48134460>>
Absolute Value_12_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d481348e0>>
Absolute Value_12_122,3,tensor(0.),0
Absolute Value_12_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0456a0>>
Absolute Value_12_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1ba070>>
Absolute Value_12_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0c3bb0>>
Absolute Value_12_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d401a9ac0>>
Absolute Value_12_127,x**2/8,tensor(0.2142),-12.452156906968865
Absolute Value_13_0,1/(4*x),tensor(0.0138),-5127.346073403388
Absolute Value_13_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc050100>>
Absolute Value_13_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d8c09cb80>>
Absolute Value_13_3,(x + 5)**2,tensor(0.0202),-2356.3869620206005
Absolute Value_13_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc103340>>
Absolute Value_13_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1973d0>>
Absolute Value_13_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc197190>>
Absolute Value_13_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d941e2940>>
Absolute Value_13_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d941e2b20>>
Absolute Value_13_9,sin(5*x + 3)/5,tensor(0.2168),-12.055317459385735
Absolute Value_13_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4025b460>>
Absolute Value_13_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4025b820>>
Absolute Value_13_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4025b910>>
Absolute Value_13_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4025b130>>
Absolute Value_13_14,3*x**(3/2),tensor(0.),0
Absolute Value_13_15,6*x - 1,tensor(0.1223),-50.54812807479408
Absolute Value_13_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc1983d0>>
Absolute Value_13_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1ecd00>>
Absolute Value_13_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d48134700>>
Absolute Value_13_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d48134310>>
Absolute Value_13_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0acd90>>
Absolute Value_13_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0ac7f0>>
Absolute Value_13_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0ace80>>
Absolute Value_13_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0acb80>>
Absolute Value_13_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4014bd90>>
Absolute Value_13_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d401a9070>>
Absolute Value_13_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc045400>>
Absolute Value_13_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0450d0>>
Absolute Value_13_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc045e20>>
Absolute Value_13_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fc8e0>>
Absolute Value_13_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fc3a0>>
Absolute Value_13_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fc4c0>>
Absolute Value_13_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40169b20>>
Absolute Value_13_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40169970>>
Absolute Value_13_34,1/5,tensor(0.),0
Absolute Value_13_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27727940>>
Absolute Value_13_36,sqrt(3)*Abs(x),tensor(0.1633),-25.26939871462928
Absolute Value_13_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc18e6a0>>
Absolute Value_13_38,x**2*atan(x),tensor(0.2099),-13.166563037973473
Absolute Value_13_39,2*x**3 + x**2,tensor(0.1778),-20.388605172380583
Absolute Value_13_40,x**4/12,tensor(0.2162),-12.147425185456616
Absolute Value_13_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0aca60>>
Absolute Value_13_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d481773d0>>
Absolute Value_13_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c083e20>>
Absolute Value_13_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40225ac0>>
Absolute Value_13_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0e47c0>>
Absolute Value_13_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dfc0906d0>>
Absolute Value_13_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40120df0>>
Absolute Value_13_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276f5850>>
Absolute Value_13_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c1c8a60>>
Absolute Value_13_50,tan(3*x),tensor(0.0004),-5903662.3329420015
Absolute Value_13_51,x**2/2,tensor(0.2048),-14.077692871286152
Absolute Value_13_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc129e20>>
Absolute Value_13_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754baf0>>
Absolute Value_13_54,exp(x) + log(x),tensor(0.),0
Absolute Value_13_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40068f10>>
Absolute Value_13_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400ea5e0>>
Absolute Value_13_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2753ac70>>
Absolute Value_13_58,4*x - cos(x),tensor(0.1574),-27.666332381203038
Absolute Value_13_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0ee5e0>>
Absolute Value_13_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d480c7400>>
Absolute Value_13_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d480c73a0>>
Absolute Value_13_62,2*x**2*exp(x),tensor(0.1492),-31.499146570433055
Absolute Value_13_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d480c7370>>
Absolute Value_13_64,exp(x)/5,tensor(0.1981),-15.392466006229263
Absolute Value_13_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1ef760>>
Absolute Value_13_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1ef820>>
Absolute Value_13_67,-cosh(x),tensor(0.3626),-2.0910722161330737
Absolute Value_13_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d8c09b340>>
Absolute Value_13_69,log(x + 1),tensor(0.2027),-14.473553504566434
Absolute Value_13_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d8c09b490>>
Absolute Value_13_71,x*exp(x) - x,tensor(0.1875),-17.769981250152675
Absolute Value_13_72,1/(x**2*(x + 2)),tensor(6.8769e-07),-2114545685469.5632
Absolute Value_13_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc18e700>>
Absolute Value_13_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276fc9a0>>
Absolute Value_13_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d9412c2e0>>
Absolute Value_13_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d9412c520>>
Absolute Value_13_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c083580>>
Absolute Value_13_78,cos(2*x + 1),tensor(0.2024),-14.526067969778495
Absolute Value_13_79,tanh(x + 3) + 1,tensor(0.1251),-47.88355013372094
Absolute Value_13_80,x*(4*x + 2),tensor(0.1288),-44.767024712020564
Absolute Value_13_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400a0e20>>
Absolute Value_13_82,-x + 3/x,tensor(0.0012),-735874.5293557757
Absolute Value_13_83,5*x**2*sinh(x),tensor(0.1483),-31.966796162020323
Absolute Value_13_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc0f5c10>>
Absolute Value_13_85,x**2*exp(2),tensor(0.1036),-73.9326990902255
Absolute Value_13_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d941e2250>>
Absolute Value_13_87,log(3*x**2),tensor(0.1965),-15.721329221943606
Absolute Value_13_88,4*x*sin(x),tensor(0.1449),-33.798998620086046
Absolute Value_13_89,-x + sin(3*x),tensor(0.2139),-12.509749039056953
Absolute Value_13_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d48134940>>
Absolute Value_13_91,x*tan(5),tensor(0.1903),-17.093892556774666
Absolute Value_13_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc197520>>
Absolute Value_13_93,x**3 + 5*x,tensor(0.1190),-53.79234104915404
Absolute Value_13_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc05fdf0>>
Absolute Value_13_95,x + atan(x),tensor(0.1833),-18.849678598518462
Absolute Value_13_96,sin(x + 5),tensor(0.2932),-4.811171306220113
Absolute Value_13_97,x + 1,tensor(0.1527),-29.777301364136306
Absolute Value_13_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940e5580>>
Absolute Value_13_99,cos(3*x + 3),tensor(0.2142),-12.458442034424204
Absolute Value_13_100,x*tan(5),tensor(0.1903),-17.093892556774666
Absolute Value_13_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1ef700>>
Absolute Value_13_102,log(3*x*cos(x)),tensor(0.),0
Absolute Value_13_103,x**4 + x,tensor(0.1887),-17.477898245658658
Absolute Value_13_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d4808db50>>
Absolute Value_13_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc0f5820>>
Absolute Value_13_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2753bdc0>>
Absolute Value_13_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c083130>>
Absolute Value_13_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c0836d0>>
Absolute Value_13_109,x*(8*x**3 + x),tensor(0.1108),-63.463433712704955
Absolute Value_13_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0c3430>>
Absolute Value_13_111,exp(x) + sin(x),tensor(0.1382),-37.866123555962375
Absolute Value_13_112,4*x**6 + x,tensor(0.1637),-25.09354531006753
Absolute Value_13_113,cos(x) + sinh(x),tensor(0.1578),-27.502305919193176
Absolute Value_13_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0458b0>>
Absolute Value_13_115,-x*tan(1),tensor(0.2206),-11.478103555685294
Absolute Value_13_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dfc079be0>>
Absolute Value_13_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc129190>>
Absolute Value_13_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2754d370>>
Absolute Value_13_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400683d0>>
Absolute Value_13_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40068460>>
Absolute Value_13_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dfc0751f0>>
Absolute Value_13_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dfc075250>>
Absolute Value_13_123,cos(x) + 9,tensor(0.0463),-423.0744114618312
Absolute Value_13_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dfc075610>>
Absolute Value_13_125,x + tanh(x + 3),tensor(0.1529),-29.67272744275497
Absolute Value_13_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d271970a0>>
Absolute Value_13_127,-1/3,tensor(0.),0
Absolute Value_14_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0e4e20>>
Absolute Value_14_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d8c09c2b0>>
Absolute Value_14_2,3*x**2/2,tensor(0.1819),-19.236551178142534
Absolute Value_14_3,1/log(x**4),tensor(0.0048),-42486.86180546751
Absolute Value_14_4,x*sin(4),tensor(0.2232),-11.113391928767488
Absolute Value_14_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc0673a0>>
Absolute Value_14_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc067a90>>
Absolute Value_14_7,-log(x),tensor(0.),0
Absolute Value_14_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1f1fa0>>
Absolute Value_14_9,sin(2*x)/12,tensor(0.2161),-12.162576560575015
Absolute Value_14_10,2*x*(x + 1),tensor(0.1526),-29.820472473402035
Absolute Value_14_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc069880>>
Absolute Value_14_12,3*x**4,tensor(0.1724),-22.03073965343799
Absolute Value_14_13,acos(x),tensor(0.1386),-37.62331845964256
Absolute Value_14_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc06a3d0>>
Absolute Value_14_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d402b96d0>>
Absolute Value_14_16,x*(2 - x),tensor(0.1934),-16.39077941013182
Absolute Value_14_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc19fe80>>
Absolute Value_14_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d402b9400>>
Absolute Value_14_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc05f5b0>>
Absolute Value_14_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc05f100>>
Absolute Value_14_21,3*x**2 - cos(x),tensor(0.1908),-16.98319285814571
Absolute Value_14_22,x**2 + x + acosh(x),tensor(0.),0
Absolute Value_14_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40169ca0>>
Absolute Value_14_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1ec310>>
Absolute Value_14_25,x*(x + asinh(x)),tensor(0.1733),-21.747830834623727
Absolute Value_14_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d480c7e20>>
Absolute Value_14_27,x + (1 - x)**2,tensor(0.1468),-32.801083755303196
Absolute Value_14_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d276f53d0>>
Absolute Value_14_29,(x + 1)**3,tensor(0.1066),-69.27248213052171
Absolute Value_14_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d9412cc70>>
Absolute Value_14_31,x**2*sin(4)/3,tensor(0.2241),-10.986888877452333
Absolute Value_14_32,x/3,tensor(0.2128),-12.6788006062828
Absolute Value_14_33,(-x - 1)*exp(x),tensor(0.3497),-2.456913285319804
Absolute Value_14_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d48134e50>>
Absolute Value_14_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc050ca0>>
Absolute Value_14_36,x + tan(asinh(x)),tensor(0.1778),-20.383901783434926
Absolute Value_14_37,4*x + 3,tensor(0.0914),-97.79876512773987
Absolute Value_14_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d2753a4c0>>
Absolute Value_14_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27197d60>>
Absolute Value_14_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc045c40>>
Absolute Value_14_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0459d0>>
Absolute Value_14_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc045bb0>>
Absolute Value_14_43,x*sin(x) + x,tensor(0.1834),-18.82113271058469
Absolute Value_14_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c1c8310>>
Absolute Value_14_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc045ca0>>
Absolute Value_14_46,1/(x - 1),tensor(0.0178),-3045.259024764839
Absolute Value_14_47,x**3/5,tensor(0.2159),-12.187997393406775
Absolute Value_14_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d5c0afc70>>
Absolute Value_14_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7ddc0e43d0>>
Absolute Value_14_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27505580>>
Absolute Value_14_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dfc102cd0>>
Absolute Value_14_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d27197970>>
Absolute Value_14_53,0,tensor(0.),0
Absolute Value_14_54,3*x*exp(x),tensor(0.1184),-54.46778923430578
Absolute Value_14_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d40120100>>
Absolute Value_14_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b1610>>
Absolute Value_14_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d940b15b0>>
Absolute Value_14_58,x**2 + 2*sin(x),tensor(0.1693),-23.068401117159013
Absolute Value_14_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dbc1f3eb0>>
Absolute Value_14_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dfc0db850>>
Absolute Value_14_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7dfc0db130>>
Absolute Value_14_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f7d400ea670>>
