 Nguyen-5_0_0,x + tan(x),tensor(0.2285),-10.400959550225325
 Nguyen-5_14_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528123a30>>
 Nguyen-5_14_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0582910>>
 Nguyen-5_14_64,x + tan(asinh(x)),tensor(0.2377),-9.280729041795672
 Nguyen-5_14_65,0,tensor(0.),0
 Nguyen-5_14_66,x**8/2 + cosh(x),tensor(0.1445),-34.039635802532324
 Nguyen-5_14_67,-atanh(x),tensor(0.1890),-17.411682764644656
 Nguyen-5_14_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0740130>>
 Nguyen-5_14_69,cosh(x + 3),tensor(0.0278),-1224.2258172022537
 Nguyen-5_14_70,x*(x + log(5)),tensor(0.2156),-12.237310260228027
 Nguyen-5_14_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd548164070>>
 Nguyen-5_14_72,5*log(x**4),tensor(0.0150),-4309.886824462099
 Nguyen-5_14_73,4*log(x),tensor(0.),0
 Nguyen-5_14_74,2*x**2 + x,tensor(0.1802),-19.683190155439746
 Nguyen-5_14_75,cos(x + 3),tensor(0.4187),-0.9279289323867856
 Nguyen-5_14_76,sin(x + 9),tensor(0.1904),-17.075843288935708
 Nguyen-5_14_77,4*x**3/3,tensor(0.2773),-5.7918977533590565
 Nguyen-5_14_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281ac460>>
 Nguyen-5_14_79,2*x*exp(2*x),tensor(0.0848),-115.612154288588
 Nguyen-5_14_80,log(x)/2,tensor(0.),0
 Nguyen-5_14_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd568050d00>>
 Nguyen-5_14_82,tanh(x)/4,tensor(0.2710),-6.234595748029062
 Nguyen-5_14_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5280be310>>
 Nguyen-5_14_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481e6070>>
 Nguyen-5_14_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481e6730>>
 Nguyen-5_14_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd56815b730>>
 Nguyen-5_14_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a7340>>
 Nguyen-5_14_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a7a60>>
 Nguyen-5_14_89,x**4/4 + exp(x),tensor(0.1498),-31.22845680627647
 Nguyen-5_14_90,x + tanh(x + 4),tensor(0.1654),-24.477133476557444
 Nguyen-5_14_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0743e20>>
 Nguyen-5_14_92,x + asin(x),tensor(0.2345),-9.65040322785943
 Nguyen-5_14_93,x*(x**2 + x),tensor(0.2196),-11.636270546667589
 Nguyen-5_14_94,2*x**3 + x,tensor(0.2272),-10.565683011886605
 Nguyen-5_14_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e05ab8b0>>
 Nguyen-5_14_96,x + 15,tensor(0.0241),-1644.7068197202825
 Nguyen-5_14_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd56803dc40>>
 Nguyen-5_14_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5480b1d90>>
 Nguyen-5_14_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e04a9160>>
 Nguyen-5_14_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54813d190>>
 Nguyen-5_14_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54813d6a0>>
 Nguyen-5_14_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5080c8dc0>>
 Nguyen-5_14_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5080c8f40>>
 Nguyen-5_14_104,x*(x + 10),tensor(0.0661),-198.83636731047346
 Nguyen-5_14_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528108c10>>
 Nguyen-5_14_106,x + cos(x),tensor(0.1772),-20.571448251991495
 Nguyen-5_14_107,2*x*(x**3 + x),tensor(0.1367),-38.85730451299719
 Nguyen-5_14_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5681248b0>>
 Nguyen-5_14_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281aeee0>>
 Nguyen-5_14_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281ae9d0>>
 Nguyen-5_14_111,exp(2*x + 4),tensor(0.0029),-120038.3911344615
 Nguyen-5_14_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481647c0>>
 Nguyen-5_14_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd548164130>>
 Nguyen-5_14_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481645e0>>
 Nguyen-5_14_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd548164af0>>
 Nguyen-5_14_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd548164970>>
 Nguyen-5_14_117,3*x,tensor(0.1941),-16.24249411462376
 Nguyen-5_14_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd548164400>>
 Nguyen-5_14_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481646a0>>
 Nguyen-5_14_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481640d0>>
 Nguyen-5_14_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481644f0>>
 Nguyen-5_14_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e05b5fa0>>
 Nguyen-5_14_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e05b5730>>
 Nguyen-5_14_124,2*x - sqrt(x - 2),tensor(0.),0
 Nguyen-5_14_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5080c8e20>>
 Nguyen-5_14_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd54813dbe0>>
 Nguyen-5_14_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd548110be0>>
 Nguyen-5_15_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc067760>>
 Nguyen-5_15_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc0677f0>>
 Nguyen-5_15_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd508132a60>>
 Nguyen-5_15_3,x + tanh(4*x),tensor(0.2204),-11.510610468912843
 Nguyen-5_15_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5280be160>>
 Nguyen-5_15_5,x*(x + cos(x)) + 2*x,tensor(0.1848),-18.45966260032842
 Nguyen-5_15_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd548135520>>
 Nguyen-5_15_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e07316a0>>
 Nguyen-5_15_8,x*(x + cos(2*x)),tensor(0.2099),-13.168005047089398
 Nguyen-5_15_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5280b8ee0>>
 Nguyen-5_15_10,3*x*tan(1),tensor(0.1361),-39.26411184611578
 Nguyen-5_15_11,3*exp(x),tensor(0.0777),-140.07316076611278
 Nguyen-5_15_12,tan(4*x),tensor(0.0156),-3994.1649006235566
 Nguyen-5_15_13,cosh(x) + asin(x),tensor(0.1530),-29.665205640897934
 Nguyen-5_15_14,cos(x + 9),tensor(0.3586),-2.200526124978032
 Nguyen-5_15_15,cos(x)**2,tensor(0.1795),-19.891661199924936
 Nguyen-5_15_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528038d00>>
 Nguyen-5_15_17,x + 1/(x + 4),tensor(0.2395),-9.077902783414695
 Nguyen-5_15_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03cc8e0>>
 Nguyen-5_15_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a0760>>
 Nguyen-5_15_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e05b57f0>>
 Nguyen-5_15_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e05b5460>>
 Nguyen-5_15_22,log(2)/x,tensor(0.0376),-653.9792570424443
 Nguyen-5_15_23,(x + 1)**4,tensor(0.0667),-194.99028743547538
 Nguyen-5_15_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e065b850>>
 Nguyen-5_15_25,4*x + sin(log(x)),tensor(0.),0
 Nguyen-5_15_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053e130>>
 Nguyen-5_15_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528072e20>>
 Nguyen-5_15_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528072af0>>
 Nguyen-5_15_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528072fd0>>
 Nguyen-5_15_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0535280>>
 Nguyen-5_15_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0535ee0>>
 Nguyen-5_15_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0535cd0>>
 Nguyen-5_15_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0535970>>
 Nguyen-5_15_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd568184850>>
 Nguyen-5_15_35,x**2*acosh(3),tensor(0.1799),-19.783441625407036
 Nguyen-5_15_36,4*x**2 + 2*x,tensor(0.1273),-45.95692867170476
 Nguyen-5_15_37,x*cos(log(x)),tensor(0.),0
 Nguyen-5_15_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053e220>>
 Nguyen-5_15_39,-x + sinh(x),tensor(0.2664),-6.585074555031087
 Nguyen-5_15_40,x*cosh(x) + 2*x,tensor(0.1800),-19.757726063422297
 Nguyen-5_15_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e055b3a0>>
 Nguyen-5_15_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481bb4f0>>
 Nguyen-5_15_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5280beee0>>
 Nguyen-5_15_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5a8547eb0>>
 Nguyen-5_15_45,x**2 - x + 2,tensor(0.0984),-82.8821033920316
 Nguyen-5_15_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e053e0a0>>
 Nguyen-5_15_47,x + cos(4),tensor(0.5013),0.010612350353899513
 Nguyen-5_15_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680a0370>>
 Nguyen-5_15_49,x*exp(x + 8),tensor(0.0002),-44095873.5351409
 Nguyen-5_15_50,sinh(x)*cosh(x),tensor(0.2671),-6.527784422750122
 Nguyen-5_15_51,-2*x**3 - x,tensor(0.1598),-26.64324377508309
 Nguyen-5_15_52,-x**3/3,tensor(0.2526),-7.751022050555397
 Nguyen-5_15_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528132eb0>>
 Nguyen-5_15_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481e6370>>
 Nguyen-5_15_55,(x + exp(x))**exp(x),tensor(0.),0
 Nguyen-5_15_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5880b3d00>>
 Nguyen-5_15_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281ac100>>
 Nguyen-5_15_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281ac940>>
 Nguyen-5_15_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b6490>>
 Nguyen-5_15_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b6a00>>
 Nguyen-5_15_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0609580>>
 Nguyen-5_15_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0609940>>
 Nguyen-5_15_63,x*(3*x + 1),tensor(0.1504),-30.91683391551019
 Nguyen-5_15_64,x**2 - x - cos(x),tensor(0.2363),-9.442990714645886
 Nguyen-5_15_65,x*cos(4) + x,tensor(0.2757),-5.9046626329710055
 Nguyen-5_15_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd56803d7c0>>
 Nguyen-5_15_67,x**2*(x + 1/3),tensor(0.2564),-7.407109747632754
 Nguyen-5_15_68,5/(2*x**2),tensor(0.0001),-64529527.66168744
 Nguyen-5_15_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281474c0>>
 Nguyen-5_15_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5080be220>>
 Nguyen-5_15_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5080be610>>
 Nguyen-5_15_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd508081af0>>
 Nguyen-5_15_73,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd508081f70>>
 Nguyen-5_15_74,3*x + cos(x),tensor(0.1517),-30.291501900827082
 Nguyen-5_15_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588048970>>
 Nguyen-5_15_76,x*tan(x) - x,tensor(0.1713),-22.401112081882935
 Nguyen-5_15_77,2*x + cos(x + 2),tensor(0.3600),-2.1615902245370067
 Nguyen-5_15_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b68b0>>
 Nguyen-5_15_79,1/(22*x),tensor(0.2428),-8.725384049544282
 Nguyen-5_15_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528132640>>
 Nguyen-5_15_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd50814be50>>
 Nguyen-5_15_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0731670>>
 Nguyen-5_15_83,x**2,tensor(0.2099),-13.171139898098769
 Nguyen-5_15_84,x*log(2),tensor(0.2828),-5.430119862874893
 Nguyen-5_15_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03cc610>>
 Nguyen-5_15_86,x**3,tensor(0.2779),-5.750974832121213
 Nguyen-5_15_87,(x**2 + x)/x,tensor(0.1653),-24.508592777909467
 Nguyen-5_15_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528123d90>>
 Nguyen-5_15_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281ba3a0>>
 Nguyen-5_15_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1eab80>>
 Nguyen-5_15_91,2*x + 1/2,tensor(0.1947),-16.09772140476766
 Nguyen-5_15_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0740040>>
 Nguyen-5_15_93,-3*x + sin(x),tensor(0.1645),-24.79144685201925
 Nguyen-5_15_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680e3100>>
 Nguyen-5_15_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680edf10>>
 Nguyen-5_15_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e05b5850>>
 Nguyen-5_15_97,x*(-1/4 + 1/x),tensor(0.1566),-28.00591103680973
 Nguyen-5_15_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd58803b880>>
 Nguyen-5_15_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0532a90>>
 Nguyen-5_15_100,x*(x + 1),tensor(0.2226),-11.200219299404575
 Nguyen-5_15_101,2*x*atan(x),tensor(0.1824),-19.080974507902944
 Nguyen-5_15_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281b3790>>
 Nguyen-5_15_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281723a0>>
 Nguyen-5_15_104,cos(5*x)/5,tensor(0.2692),-6.371474976501459
 Nguyen-5_15_105,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03ccb80>>
 Nguyen-5_15_106,x*(x**2 + x),tensor(0.2196),-11.636270546667589
 Nguyen-5_15_107,x**7/78,tensor(0.2623),-6.912683018506553
 Nguyen-5_15_108,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd52808dfa0>>
 Nguyen-5_15_109,x*(x**5 + x),tensor(0.1897),-17.253391202931525
 Nguyen-5_15_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e055b040>>
 Nguyen-5_15_111,x**2*asinh(x),tensor(0.2778),-5.759966560091011
 Nguyen-5_15_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc067130>>
 Nguyen-5_15_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281ef070>>
 Nguyen-5_15_114,x - 1/2,tensor(0.4283),-0.7819742997069388
 Nguyen-5_15_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e06dd7c0>>
 Nguyen-5_15_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481093a0>>
 Nguyen-5_15_117,log(x**2 + 1),tensor(0.2200),-11.56735502874833
 Nguyen-5_15_118,x/39,tensor(0.2633),-6.832040308456224
 Nguyen-5_15_119,x**2*cos(4),tensor(0.3022),-4.331239683190491
 Nguyen-5_15_120,3,tensor(0.),0
 Nguyen-5_15_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680ed2b0>>
 Nguyen-5_15_122,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081b6940>>
 Nguyen-5_15_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd52808db20>>
 Nguyen-5_15_124,x*(x + sinh(x)),tensor(0.1684),-23.374415576985847
 Nguyen-5_15_125,cosh(x)**5,tensor(0.0829),-121.48498360396924
 Nguyen-5_15_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528172e50>>
 Nguyen-5_15_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528147ca0>>
 Nguyen-5_16_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481a5250>>
 Nguyen-5_16_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588044c10>>
 Nguyen-5_16_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc1ea8b0>>
 Nguyen-5_16_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd56803da90>>
 Nguyen-5_16_4,log(x**3),tensor(0.),0
 Nguyen-5_16_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0532c10>>
 Nguyen-5_16_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481aaac0>>
 Nguyen-5_16_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481aae50>>
 Nguyen-5_16_8,3*x**2/2 + x,tensor(0.1995),-15.09787061441775
 Nguyen-5_16_9,x/(x + 3),tensor(0.2841),-5.347168636812798
 Nguyen-5_16_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4cc0673a0>>
 Nguyen-5_16_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481e6250>>
 Nguyen-5_16_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e052c7c0>>
 Nguyen-5_16_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e052cfa0>>
 Nguyen-5_16_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e052ca90>>
 Nguyen-5_16_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588048400>>
 Nguyen-5_16_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd588048940>>
 Nguyen-5_16_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5681849a0>>
 Nguyen-5_16_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd568184dc0>>
 Nguyen-5_16_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5681846d0>>
 Nguyen-5_16_20,x**3,tensor(0.2779),-5.750974832121213
 Nguyen-5_16_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd50805b550>>
 Nguyen-5_16_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd50805bd60>>
 Nguyen-5_16_23,x*(x**2 + x),tensor(0.2196),-11.636270546667589
 Nguyen-5_16_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd568184f40>>
 Nguyen-5_16_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd568184490>>
 Nguyen-5_16_26,cos(x) - 1/x,tensor(0.0257),-1438.483949993219
 Nguyen-5_16_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd568184460>>
 Nguyen-5_16_28,x*(x + log(x)),tensor(0.),0
 Nguyen-5_16_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481dff70>>
 Nguyen-5_16_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528172c40>>
 Nguyen-5_16_31,-2*x**2 + 6*x,tensor(0.1071),-68.54477366337633
 Nguyen-5_16_32,log(x)*log(cos(x)),tensor(0.),0
 Nguyen-5_16_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e03cc730>>
 Nguyen-5_16_34,3*sinh(x),tensor(0.1803),-19.66833195265021
 Nguyen-5_16_35,2*sqrt(x) + 2*log(x),tensor(0.),0
 Nguyen-5_16_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680bd5e0>>
 Nguyen-5_16_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281ac9a0>>
 Nguyen-5_16_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e06dd8e0>>
 Nguyen-5_16_39,exp(x) - 2*cos(x),tensor(0.3612),-2.1281564686450842
 Nguyen-5_16_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd58803b730>>
 Nguyen-5_16_41,2*x**5 + 2*x,tensor(0.1960),-15.834925273528405
 Nguyen-5_16_42,5*cos(2*x),tensor(0.0929),-94.31533868821224
 Nguyen-5_16_43,x*exp(2*x),tensor(0.1401),-36.68411471379586
 Nguyen-5_16_44,sin(2*x + 4)/5,tensor(0.2626),-6.881394883070523
 Nguyen-5_16_45,x - sin(x),tensor(0.2661),-6.605266031727078
 Nguyen-5_16_46,exp(2*x + 5),tensor(0.0011),-883226.462904816
 Nguyen-5_16_47,-3*x + log(x),tensor(0.),0
 Nguyen-5_16_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd568193760>>
 Nguyen-5_16_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5280beaf0>>
 Nguyen-5_16_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528108a60>>
 Nguyen-5_16_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5081786a0>>
 Nguyen-5_16_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd508178dc0>>
 Nguyen-5_16_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0740d30>>
 Nguyen-5_16_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481bb1c0>>
 Nguyen-5_16_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5481bb280>>
 Nguyen-5_16_56,cos(x/9),tensor(0.1597),-26.677821612027483
 Nguyen-5_16_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd548109c40>>
 Nguyen-5_16_58,sin(x) + cos(x),tensor(0.1772),-20.55553124394078
 Nguyen-5_16_59,x + 2,tensor(0.1166),-56.44096732189337
 Nguyen-5_16_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd56815b700>>
 Nguyen-5_16_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5680e3430>>
 Nguyen-5_16_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5681a01f0>>
 Nguyen-5_16_63,acos(x + 5),tensor(0.),0
 Nguyen-5_16_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5280b8d90>>
 Nguyen-5_16_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e04a9040>>
 Nguyen-5_16_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e04a9940>>
 Nguyen-5_16_67,x**2*tan(5),tensor(0.2717),-6.182707303836494
 Nguyen-5_16_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e04a92b0>>
 Nguyen-5_16_69,exp(x)/5,tensor(0.2339),-9.723409177304486
 Nguyen-5_16_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5281b31f0>>
 Nguyen-5_16_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd528183b50>>
 Nguyen-5_16_72,x**2 + x*sin(1),tensor(0.2225),-11.208262404894787
 Nguyen-5_16_73,x + cos(4),tensor(0.5013),0.010612350353899513
 Nguyen-5_16_74,x**2,tensor(0.2099),-13.171139898098769
 Nguyen-5_16_75,x + log(x)/x,tensor(0.),0
 Nguyen-5_16_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5480b1100>>
 Nguyen-5_16_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd4e0779df0>>
 Nguyen-5_16_78,asin(x - 1),tensor(0.),0
 Nguyen-5_16_79,x*asin(x) + 3*x,tensor(0.1721),-22.149365442364758
 Nguyen-5_16_80,x**2 - 5*x,tensor(0.0942),-91.48388735800862
 Nguyen-5_16_81,0,tensor(0.),0
 Nguyen-5_16_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7fd5080b0970>>
