Polynomial with Complex Roots_0_0,x**3 + 2*x**2 + x,tensor(0.2444),-8.554996892948866
Polynomial with Complex Roots_5_117,8*x,tensor(0.1966),-15.68996949939049
Polynomial with Complex Roots_5_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08d130>>
Polynomial with Complex Roots_5_119,x*log(x**5),tensor(0.),0
Polynomial with Complex Roots_5_120,x**2/cos(5),tensor(0.2561),-7.433889619062509
Polynomial with Complex Roots_5_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c07dbe0>>
Polynomial with Complex Roots_5_122,0,tensor(0.),0
Polynomial with Complex Roots_5_123,log(x**2*sin(x)),tensor(0.),0
Polynomial with Complex Roots_5_124,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1b0ac0>>
Polynomial with Complex Roots_5_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc08ef70>>
Polynomial with Complex Roots_5_126,3*log(x),tensor(0.),0
Polynomial with Complex Roots_5_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc08eb20>>
Polynomial with Complex Roots_6_0,x*acos(x)**3,tensor(0.1325),-41.83437970855028
Polynomial with Complex Roots_6_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b7c137bb0>>
Polynomial with Complex Roots_6_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c585fa0>>
Polynomial with Complex Roots_6_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1bac10>>
Polynomial with Complex Roots_6_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1d5bb0>>
Polynomial with Complex Roots_6_5,3*x - 3*log(cos(x)),tensor(0.2406),-8.96693655360158
Polynomial with Complex Roots_6_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c03da00>>
Polynomial with Complex Roots_6_7,x + tan(x)**2,tensor(0.2389),-9.154187460782722
Polynomial with Complex Roots_6_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c18a400>>
Polynomial with Complex Roots_6_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c18a370>>
Polynomial with Complex Roots_6_10,x**2*tan(5),tensor(0.1854),-18.306948925893003
Polynomial with Complex Roots_6_11,3*tanh(x),tensor(0.2210),-11.418854112172617
Polynomial with Complex Roots_6_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0fee20>>
Polynomial with Complex Roots_6_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7d90>>
Polynomial with Complex Roots_6_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f70d0>>
Polynomial with Complex Roots_6_15,x**2 + x/4,tensor(0.2285),-10.4035150111097
Polynomial with Complex Roots_6_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0cc970>>
Polynomial with Complex Roots_6_17,tan(x) - 1,tensor(0.1943),-16.189228289850508
Polynomial with Complex Roots_6_18,2*x*tan(x),tensor(0.2448),-8.512140417909757
Polynomial with Complex Roots_6_19,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c172250>>
Polynomial with Complex Roots_6_20,(x + 4)**2,tensor(0.1283),-45.16116519545349
Polynomial with Complex Roots_6_21,3*x + cos(x),tensor(0.2481),-8.185373627603628
Polynomial with Complex Roots_6_22,x**2/cos(1),tensor(0.2368),-9.384213592735447
Polynomial with Complex Roots_6_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c123ee0>>
Polynomial with Complex Roots_6_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c09ca30>>
Polynomial with Complex Roots_6_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d14f0>>
Polynomial with Complex Roots_6_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d13a0>>
Polynomial with Complex Roots_6_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d1220>>
Polynomial with Complex Roots_6_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d1a30>>
Polynomial with Complex Roots_6_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d1760>>
Polynomial with Complex Roots_6_30,0,tensor(0.),0
Polynomial with Complex Roots_6_31,2*x*cosh(x),tensor(0.2211),-11.410889246597034
Polynomial with Complex Roots_6_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c074400>>
Polynomial with Complex Roots_6_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0740a0>>
Polynomial with Complex Roots_6_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c074a60>>
Polynomial with Complex Roots_6_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c074f40>>
Polynomial with Complex Roots_6_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c074580>>
Polynomial with Complex Roots_6_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0748b0>>
Polynomial with Complex Roots_6_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c074b80>>
Polynomial with Complex Roots_6_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c074c10>>
Polynomial with Complex Roots_6_40,x + 2*tanh(x),tensor(0.2210),-11.428482551257996
Polynomial with Complex Roots_6_41,2*x + sin(x),tensor(0.2208),-11.454253745554565
Polynomial with Complex Roots_6_42,x + cos(x) + 1,tensor(0.2889),-5.056303854407467
Polynomial with Complex Roots_6_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08b8e0>>
Polynomial with Complex Roots_6_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08b3a0>>
Polynomial with Complex Roots_6_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08b6a0>>
Polynomial with Complex Roots_6_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08b970>>
Polynomial with Complex Roots_6_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08b370>>
Polynomial with Complex Roots_6_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08b1c0>>
Polynomial with Complex Roots_6_49,x*(x**4 + x)**3,tensor(0.2350),-9.598894886136916
Polynomial with Complex Roots_6_50,x**3*cosh(x),tensor(0.2194),-11.653671025091578
Polynomial with Complex Roots_6_51,-x**2 - x,tensor(0.2030),-14.418491802418743
Polynomial with Complex Roots_6_52,asinh(x + 1),tensor(0.2455),-8.442359062283426
Polynomial with Complex Roots_6_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc051ca0>>
Polynomial with Complex Roots_6_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc051070>>
Polynomial with Complex Roots_6_55,log(x) + tanh(x),tensor(0.),0
Polynomial with Complex Roots_6_56,x*cos(4),tensor(0.2140),-12.487423771348567
Polynomial with Complex Roots_6_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee3a0>>
Polynomial with Complex Roots_6_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1ca640>>
Polynomial with Complex Roots_6_59,x**2 + x + sin(x),tensor(0.2326),-9.88869541347546
Polynomial with Complex Roots_6_60,x**2 - 1,tensor(0.2003),-14.943716527771139
Polynomial with Complex Roots_6_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c080460>>
Polynomial with Complex Roots_6_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e880>>
Polynomial with Complex Roots_6_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e9d0>>
Polynomial with Complex Roots_6_64,x**2/2,tensor(0.2220),-11.277628912136537
Polynomial with Complex Roots_6_65,4*exp(x),tensor(0.5268),0.19337359841776947
Polynomial with Complex Roots_6_66,x*exp(x) + 4,tensor(0.5191),0.14176639337898456
Polynomial with Complex Roots_6_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d19a0>>
Polynomial with Complex Roots_6_68,2*cos(x),tensor(0.2730),-6.09291639325085
Polynomial with Complex Roots_6_69,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1893a0>>
Polynomial with Complex Roots_6_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc189760>>
Polynomial with Complex Roots_6_71,1/(x - 1),tensor(0.0273),-1266.823222695756
Polynomial with Complex Roots_6_72,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f05e0>>
Polynomial with Complex Roots_6_73,x - acos(x),tensor(0.1824),-19.102186206645264
Polynomial with Complex Roots_6_74,x**2 + x + cos(x),tensor(0.2612),-7.003154964618895
Polynomial with Complex Roots_6_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f0340>>
Polynomial with Complex Roots_6_76,1/(x + 4),tensor(0.2239),-11.018784775631634
Polynomial with Complex Roots_6_77,-tan(x),tensor(0.2107),-13.025435425258983
Polynomial with Complex Roots_6_78,x**2/2 + cosh(x),tensor(0.2628),-6.872476944527206
Polynomial with Complex Roots_6_79,5*x**2 + x,tensor(0.2805),-5.580405325182641
Polynomial with Complex Roots_6_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0f8d90>>
Polynomial with Complex Roots_6_81,x**2/16,tensor(0.2174),-11.952147695545962
Polynomial with Complex Roots_6_82,x*(x + 3),tensor(0.2322),-9.934310277252235
Polynomial with Complex Roots_6_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc08e3a0>>
Polynomial with Complex Roots_6_84,x + cos(1),tensor(0.2368),-9.388305255783626
Polynomial with Complex Roots_6_85,x*exp(2),tensor(0.2009),-14.82643236169628
Polynomial with Complex Roots_6_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0f8880>>
Polynomial with Complex Roots_6_87,x + 5,tensor(0.5586),0.37567140935117216
Polynomial with Complex Roots_6_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1ba880>>
Polynomial with Complex Roots_6_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc189f10>>
Polynomial with Complex Roots_6_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc189fd0>>
Polynomial with Complex Roots_6_91,x*(2*x + 24),tensor(0.1064),-69.47964057309142
Polynomial with Complex Roots_6_92,x*(5*x + 5),tensor(0.2718),-6.1763531960147
Polynomial with Complex Roots_6_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7e20>>
Polynomial with Complex Roots_6_94,2*x*(x + 2),tensor(0.2415),-8.862191748548108
Polynomial with Complex Roots_6_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c5fd580>>
Polynomial with Complex Roots_6_96,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c176790>>
Polynomial with Complex Roots_6_97,6*x**2,tensor(0.2840),-5.3558466273506085
Polynomial with Complex Roots_6_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0cca30>>
Polynomial with Complex Roots_6_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267460>>
Polynomial with Complex Roots_6_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267220>>
Polynomial with Complex Roots_6_101,3 - exp(x),tensor(0.2684),-6.427662800373835
Polynomial with Complex Roots_6_102,x + tan(6),tensor(0.2116),-12.879649524559929
Polynomial with Complex Roots_6_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc19e5e0>>
Polynomial with Complex Roots_6_104,x + 3/x,tensor(0.0202),-2350.36405682701
Polynomial with Complex Roots_6_105,x + tan(2),tensor(0.1701),-22.795622304816305
Polynomial with Complex Roots_6_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c172e80>>
Polynomial with Complex Roots_6_107,9/x**2,tensor(2.8220e-05),-1255653728.8632674
Polynomial with Complex Roots_6_108,cos(x) + asin(x),tensor(0.2472),-8.274580091009945
Polynomial with Complex Roots_6_109,3*exp(cosh(x)),tensor(0.2583),-7.244321208254782
Polynomial with Complex Roots_6_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c109130>>
Polynomial with Complex Roots_6_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b5c70>>
Polynomial with Complex Roots_6_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b5cd0>>
Polynomial with Complex Roots_6_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a9400>>
Polynomial with Complex Roots_6_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0a94f0>>
Polynomial with Complex Roots_6_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c09c820>>
Polynomial with Complex Roots_6_116,x + tan(x) + 2,tensor(0.3032),-4.28319213821001
Polynomial with Complex Roots_6_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2e0f10>>
Polynomial with Complex Roots_6_118,x*cosh(x)**2,tensor(0.2210),-11.422863928614671
Polynomial with Complex Roots_6_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c123760>>
Polynomial with Complex Roots_6_120,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0aa130>>
Polynomial with Complex Roots_6_121,x*(5*x + 1),tensor(0.2805),-5.580405325182641
Polynomial with Complex Roots_6_122,3*x + sin(x),tensor(0.2188),-11.754203107754822
Polynomial with Complex Roots_6_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f72b0>>
Polynomial with Complex Roots_6_124,1,tensor(0.),0
Polynomial with Complex Roots_6_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267700>>
Polynomial with Complex Roots_6_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc189430>>
Polynomial with Complex Roots_6_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c39f880>>
Polynomial with Complex Roots_7_0,x**3*tan(4),tensor(0.2191),-11.702094791110742
Polynomial with Complex Roots_7_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0f86a0>>
Polynomial with Complex Roots_7_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b57f0>>
Polynomial with Complex Roots_7_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b5430>>
Polynomial with Complex Roots_7_4,x**2 - x,tensor(0.2221),-11.265432098284565
Polynomial with Complex Roots_7_5,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c175280>>
Polynomial with Complex Roots_7_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c123f10>>
Polynomial with Complex Roots_7_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c087d60>>
Polynomial with Complex Roots_7_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c087910>>
Polynomial with Complex Roots_7_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c087790>>
Polynomial with Complex Roots_7_10,x**2*(x + cos(x)) + x,tensor(0.2289),-10.348943232318423
Polynomial with Complex Roots_7_11,5*x*tan(1),tensor(0.1981),-15.377964649127794
Polynomial with Complex Roots_7_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1b0640>>
Polynomial with Complex Roots_7_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b55e0>>
Polynomial with Complex Roots_7_14,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b5640>>
Polynomial with Complex Roots_7_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c044700>>
Polynomial with Complex Roots_7_16,asin(x + 5),tensor(0.),0
Polynomial with Complex Roots_7_17,2*x + sin(x),tensor(0.2208),-11.454253745554565
Polynomial with Complex Roots_7_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc1d58b0>>
Polynomial with Complex Roots_7_19,5*cos(4*x)/4,tensor(0.2062),-13.81786752242781
Polynomial with Complex Roots_7_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f08e0>>
Polynomial with Complex Roots_7_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1ee220>>
Polynomial with Complex Roots_7_22,cos(x + 4),tensor(0.2044),-14.14208194618317
Polynomial with Complex Roots_7_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0fe610>>
Polynomial with Complex Roots_7_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2e0d00>>
Polynomial with Complex Roots_7_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2e0850>>
Polynomial with Complex Roots_7_26,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c172a90>>
Polynomial with Complex Roots_7_27,x**2 + x + acosh(x),tensor(0.),0
Polynomial with Complex Roots_7_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c171700>>
Polynomial with Complex Roots_7_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f5eb0>>
Polynomial with Complex Roots_7_30,x**2*(x + sin(x)),tensor(0.2201),-11.558431302660448
Polynomial with Complex Roots_7_31,3*x,tensor(0.2207),-11.469658972901083
Polynomial with Complex Roots_7_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc08ee50>>
Polynomial with Complex Roots_7_33,x**2 + x + cosh(x),tensor(0.2768),-5.827357973119037
Polynomial with Complex Roots_7_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c156850>>
Polynomial with Complex Roots_7_35,x**2*(x**2 + x),tensor(0.2255),-10.79028231747828
Polynomial with Complex Roots_7_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407e9d0>>
Polynomial with Complex Roots_7_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc074ac0>>
Polynomial with Complex Roots_7_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267430>>
Polynomial with Complex Roots_7_39,-2*x + sin(x),tensor(0.2118),-12.849025129348524
Polynomial with Complex Roots_7_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1e6d90>>
Polynomial with Complex Roots_7_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b73d0>>
Polynomial with Complex Roots_7_42,x**2/sin(1),tensor(0.2295),-10.276999353550917
Polynomial with Complex Roots_7_43,sqrt(2*x - 4),tensor(0.),0
Polynomial with Complex Roots_7_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b7ee0>>
Polynomial with Complex Roots_7_45,9*x**2,tensor(0.3064),-4.123134812186023
Polynomial with Complex Roots_7_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1ca5e0>>
Polynomial with Complex Roots_7_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c07d340>>
Polynomial with Complex Roots_7_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c07d1c0>>
Polynomial with Complex Roots_7_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c2672b0>>
Polynomial with Complex Roots_7_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267be0>>
Polynomial with Complex Roots_7_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267df0>>
Polynomial with Complex Roots_7_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0391f0>>
Polynomial with Complex Roots_7_53,tan(6)/x,tensor(0.1425),-35.23984106494543
Polynomial with Complex Roots_7_54,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc08e490>>
Polynomial with Complex Roots_7_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c176940>>
Polynomial with Complex Roots_7_56,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5abc1376d0>>
Polynomial with Complex Roots_7_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c0cc760>>
Polynomial with Complex Roots_7_58,13*log(x),tensor(0.),0
Polynomial with Complex Roots_7_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5adc0b79d0>>
Polynomial with Complex Roots_7_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c074340>>
Polynomial with Complex Roots_7_61,-exp(x) + sin(x),tensor(0.1873),-17.82819724338805
Polynomial with Complex Roots_7_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0aaa60>>
Polynomial with Complex Roots_7_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f5b80>>
Polynomial with Complex Roots_7_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0d5130>>
Polynomial with Complex Roots_7_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c0d5f40>>
Polynomial with Complex Roots_7_66,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1f09d0>>
Polynomial with Complex Roots_7_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d11c0>>
Polynomial with Complex Roots_7_68,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b1c1d1d60>>
Polynomial with Complex Roots_7_69,sqrt(x) + 2*x,tensor(0.),0
Polynomial with Complex Roots_7_70,x**2/5,tensor(0.2189),-11.736925068529192
Polynomial with Complex Roots_7_71,x*(x + 5),tensor(0.2253),-10.825490666293057
Polynomial with Complex Roots_7_72,1/(1 - x),tensor(0.0280),-1205.0342236275062
Polynomial with Complex Roots_7_73,2*sin(x) + cos(x),tensor(0.2484),-8.154606886271766
Polynomial with Complex Roots_7_74,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c087430>>
Polynomial with Complex Roots_7_75,-x - tan(x),tensor(0.2048),-14.071526857102178
Polynomial with Complex Roots_7_76,x*(x + 3) + x,tensor(0.2297),-10.250172030142895
Polynomial with Complex Roots_7_77,3*x + 2*asinh(x),tensor(0.2154),-12.274274045150339
Polynomial with Complex Roots_7_78,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5ab407eb20>>
Polynomial with Complex Roots_7_79,sinh(x) + 1,tensor(0.2538),-7.647060096577874
Polynomial with Complex Roots_7_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1e6190>>
Polynomial with Complex Roots_7_81,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc051af0>>
Polynomial with Complex Roots_7_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7ee0>>
Polynomial with Complex Roots_7_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f7be0>>
Polynomial with Complex Roots_7_84,sqrt(3)*sin(3*x),tensor(0.2194),-11.663848493599838
Polynomial with Complex Roots_7_85,3*x + 3*cos(x),tensor(0.3264),-3.260876836266278
Polynomial with Complex Roots_7_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0aa310>>
Polynomial with Complex Roots_7_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1c6f70>>
Polynomial with Complex Roots_7_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0aa7f0>>
Polynomial with Complex Roots_7_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0aad90>>
Polynomial with Complex Roots_7_90,x**2/2 + sin(x),tensor(0.2251),-10.8552541623147
Polynomial with Complex Roots_7_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c1b0250>>
Polynomial with Complex Roots_7_92,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc0518b0>>
Polynomial with Complex Roots_7_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5aa00f79d0>>
Polynomial with Complex Roots_7_94,x + (x + 5)**2,tensor(0.0747),-152.6294211054842
Polynomial with Complex Roots_7_95,x + tan(x),tensor(0.2212),-11.390603772497423
Polynomial with Complex Roots_7_96,sin(x)*cos(x)/2,tensor(0.2179),-11.879127703218488
Polynomial with Complex Roots_7_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0995b0>>
Polynomial with Complex Roots_7_98,2*x*cos(x),tensor(0.2205),-11.501606653725814
Polynomial with Complex Roots_7_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c08b190>>
Polynomial with Complex Roots_7_100,x - sinh(x),tensor(0.2164),-12.115846975559094
Polynomial with Complex Roots_7_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5afc1ba490>>
Polynomial with Complex Roots_7_102,sqrt(x) + x + sin(x),tensor(0.),0
Polynomial with Complex Roots_7_103,x**2*sin(x**2),tensor(0.2227),-11.185687756612227
Polynomial with Complex Roots_7_104,x**2*sin(log(x)),tensor(0.),0
Polynomial with Complex Roots_7_105,2*x + 5,tensor(0.6261),0.6434816791467546
Polynomial with Complex Roots_7_106,6*x**2 + x,tensor(0.2926),-4.8469048010216556
Polynomial with Complex Roots_7_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c267e20>>
Polynomial with Complex Roots_7_108,log(x + 3) + 3,tensor(0.4327),-0.7189090193610557
Polynomial with Complex Roots_7_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c0b3f70>>
Polynomial with Complex Roots_7_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b3c07d1f0>>
Polynomial with Complex Roots_7_111,x*(cos(x) - 1),tensor(0.2156),-12.23516719690343
Polynomial with Complex Roots_7_112,3*x + 9,tensor(0.3246),-3.329980845909435
Polynomial with Complex Roots_7_113,2*x**2/cos(x),tensor(0.2480),-8.192753511741678
Polynomial with Complex Roots_7_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f5b5c1715e0>>
