Square Root with Quadratic Term_0_0,x + tan(x),tensor(0.0754),-149.42550353068413
Square Root with Quadratic Term_15_110,x*(-x + exp(x)),tensor(0.0814),-126.28743116329731
Square Root with Quadratic Term_15_111,x**2*exp(-x),tensor(0.0946),-90.5213621967421
Square Root with Quadratic Term_15_112,x**3/3 + log(x),tensor(0.),0
Square Root with Quadratic Term_15_113,x + 1/2,tensor(0.0974),-84.80051809485788
Square Root with Quadratic Term_15_114,x*(x + sinh(x)),tensor(0.1028),-75.19512762252005
Square Root with Quadratic Term_15_115,x*(x**2 + x),tensor(0.0919),-96.56416123345471
Square Root with Quadratic Term_15_116,2*x**2 - x,tensor(0.0995),-80.93358246413075
Square Root with Quadratic Term_15_117,x/210,tensor(0.0842),-117.40692016186611
Square Root with Quadratic Term_15_118,log(x + 1),tensor(0.0730),-160.11120807779741
Square Root with Quadratic Term_15_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc05a5e0>>
Square Root with Quadratic Term_15_120,x + exp(3*x),tensor(0.0449),-452.02848562366404
Square Root with Quadratic Term_15_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2ca9400>>
Square Root with Quadratic Term_15_122,x*(-x**2 + x),tensor(0.0925),-95.1835521551956
Square Root with Quadratic Term_15_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998142490>>
Square Root with Quadratic Term_15_124,1 - sin(x),tensor(0.1224),-50.45256277879319
Square Root with Quadratic Term_15_125,x*cos(8),tensor(0.0842),-117.2909773084374
Square Root with Quadratic Term_15_126,x*sin(x + 2),tensor(0.0799),-131.5246933656829
Square Root with Quadratic Term_15_127,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581f5c10>>
Square Root with Quadratic Term_16_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901b0c10>>
Square Root with Quadratic Term_16_1,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981f22b0>>
Square Root with Quadratic Term_16_2,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981f2af0>>
Square Root with Quadratic Term_16_3,-x**3/9,tensor(0.0842),-117.32266001391638
Square Root with Quadratic Term_16_4,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928074e80>>
Square Root with Quadratic Term_16_5,2*cosh(x),tensor(0.2712),-6.2197900630119145
Square Root with Quadratic Term_16_6,-x**2/2 + 2*x,tensor(0.0737),-157.01247637458647
Square Root with Quadratic Term_16_7,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69300fbe50>>
Square Root with Quadratic Term_16_8,x**2 + 3*x,tensor(0.0762),-145.93933401927515
Square Root with Quadratic Term_16_9,x*(-x*cos(x) + x),tensor(0.0866),-110.33628667729414
Square Root with Quadratic Term_16_10,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69580ea580>>
Square Root with Quadratic Term_16_11,x**2 + 4*x + sin(x),tensor(0.0617),-229.93014182645746
Square Root with Quadratic Term_16_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699820f220>>
Square Root with Quadratic Term_16_13,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f7940>>
Square Root with Quadratic Term_16_14,x**2*cosh(5),tensor(0.0078),-16189.55443590214
Square Root with Quadratic Term_16_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998076400>>
Square Root with Quadratic Term_16_16,2*x + exp(x),tensor(0.0931),-93.86513753587055
Square Root with Quadratic Term_16_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699803b9a0>>
Square Root with Quadratic Term_16_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699803b8e0>>
Square Root with Quadratic Term_16_19,tan(2*x)/4,tensor(0.0033),-90578.69700010838
Square Root with Quadratic Term_16_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981fb4f0>>
Square Root with Quadratic Term_16_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8ca0>>
Square Root with Quadratic Term_16_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5c8e50>>
Square Root with Quadratic Term_16_23,asin(x - 1),tensor(0.),0
Square Root with Quadratic Term_16_24,x*(x + sin(x))**2,tensor(0.0753),-149.79422540815656
Square Root with Quadratic Term_16_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998118fd0>>
Square Root with Quadratic Term_16_26,2*x*asinh(x),tensor(0.1011),-78.10575483485326
Square Root with Quadratic Term_16_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990173ca0>>
Square Root with Quadratic Term_16_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998135be0>>
Square Root with Quadratic Term_16_29,8*x*log(x),tensor(0.),0
Square Root with Quadratic Term_16_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998135a00>>
Square Root with Quadratic Term_16_31,8*sin(x),tensor(0.0469),-412.8078479033666
Square Root with Quadratic Term_16_32,x*(-x**2 + x + log(x)),tensor(0.),0
Square Root with Quadratic Term_16_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900432b0>>
Square Root with Quadratic Term_16_34,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900fdfa0>>
Square Root with Quadratic Term_16_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900fd370>>
Square Root with Quadratic Term_16_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998118c40>>
Square Root with Quadratic Term_16_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998118a60>>
Square Root with Quadratic Term_16_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998118dc0>>
Square Root with Quadratic Term_16_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901af970>>
Square Root with Quadratic Term_16_40,x*(3*x + 4),tensor(0.0743),-154.03741674766383
Square Root with Quadratic Term_16_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69900fd790>>
Square Root with Quadratic Term_16_42,acosh(x + 1),tensor(0.),0
Square Root with Quadratic Term_16_43,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998135940>>
Square Root with Quadratic Term_16_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981180a0>>
Square Root with Quadratic Term_16_45,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998118640>>
Square Root with Quadratic Term_16_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998118ee0>>
Square Root with Quadratic Term_16_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998118d60>>
Square Root with Quadratic Term_16_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981185b0>>
Square Root with Quadratic Term_16_49,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981181f0>>
Square Root with Quadratic Term_16_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998118670>>
Square Root with Quadratic Term_16_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981188b0>>
Square Root with Quadratic Term_16_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998118b50>>
Square Root with Quadratic Term_16_53,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998118610>>
Square Root with Quadratic Term_16_54,sinh(x)/2,tensor(0.0834),-119.91077368476567
Square Root with Quadratic Term_16_55,x + cos(2*x),tensor(0.0954),-88.8795009181243
Square Root with Quadratic Term_16_56,4*x + 1,tensor(0.0783),-137.52993386066962
Square Root with Quadratic Term_16_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928073a60>>
Square Root with Quadratic Term_16_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815bf70>>
Square Root with Quadratic Term_16_59,x/(x + 2),tensor(0.0808),-128.59119956362872
Square Root with Quadratic Term_16_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc17e910>>
Square Root with Quadratic Term_16_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998306b80>>
Square Root with Quadratic Term_16_62,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998306c40>>
Square Root with Quadratic Term_16_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998306fa0>>
Square Root with Quadratic Term_16_64,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699812de50>>
Square Root with Quadratic Term_16_65,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699803bf10>>
Square Root with Quadratic Term_16_66,x**3/3 + sin(x),tensor(0.0816),-125.74208187007889
Square Root with Quadratic Term_16_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581f5bb0>>
Square Root with Quadratic Term_16_68,2*x*(x + 2),tensor(0.0718),-166.3158224614485
Square Root with Quadratic Term_16_69,5/2,tensor(0.),0
Square Root with Quadratic Term_16_70,x + 5,tensor(0.0963),-87.08673250527625
Square Root with Quadratic Term_16_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301aef70>>
Square Root with Quadratic Term_16_72,2*x/pi,tensor(0.0832),-120.58253241559703
Square Root with Quadratic Term_16_73,2*x + log(2),tensor(0.0953),-89.07049353098881
Square Root with Quadratic Term_16_74,x*sin(x + 2),tensor(0.0799),-131.5246933656829
Square Root with Quadratic Term_16_75,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982da880>>
Square Root with Quadratic Term_16_76,x*(x + exp(-x)),tensor(0.0798),-131.86754522215003
Square Root with Quadratic Term_16_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982535b0>>
Square Root with Quadratic Term_16_78,cos(2*x),tensor(0.0990),-81.90231678606597
Square Root with Quadratic Term_16_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc15e0a0>>
Square Root with Quadratic Term_16_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f7ac0>>
Square Root with Quadratic Term_16_81,(x**2 + 4*x)**3,tensor(0.0080),-15500.442901372213
Square Root with Quadratic Term_16_82,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f5f70>>
Square Root with Quadratic Term_16_83,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f5fd0>>
Square Root with Quadratic Term_16_84,-2*x + 2*log(cos(x)),tensor(0.0710),-169.9692525889485
Square Root with Quadratic Term_16_85,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998360190>>
Square Root with Quadratic Term_16_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc489a60>>
Square Root with Quadratic Term_16_87,5*x**3/3,tensor(0.0817),-125.46134177927311
Square Root with Quadratic Term_16_88,-x**3,tensor(0.0837),-118.78100513856778
Square Root with Quadratic Term_16_89,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc061ca0>>
Square Root with Quadratic Term_16_90,(2*x + atan(x))*log(x),tensor(0.),0
Square Root with Quadratic Term_16_91,-x + 3*log(x),tensor(0.),0
Square Root with Quadratic Term_16_92,-x - cos(x),tensor(0.0650),-205.92224290040045
Square Root with Quadratic Term_16_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982dae20>>
Square Root with Quadratic Term_16_94,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998172d90>>
Square Root with Quadratic Term_16_95,3*x**2 - x,tensor(0.1057),-70.60205318518209
Square Root with Quadratic Term_16_96,x**2 + x - sin(x),tensor(0.0932),-93.7134321933607
Square Root with Quadratic Term_16_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998076b80>>
Square Root with Quadratic Term_16_98,x + 2*log(x),tensor(0.),0
Square Root with Quadratic Term_16_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998142ac0>>
Square Root with Quadratic Term_16_100,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43fa0>>
Square Root with Quadratic Term_16_101,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699820f8e0>>
Square Root with Quadratic Term_16_102,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699820fa30>>
Square Root with Quadratic Term_16_103,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f7ef40>>
Square Root with Quadratic Term_16_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f7e580>>
Square Root with Quadratic Term_16_105,sin(x + 5),tensor(0.0660),-199.36759050105948
Square Root with Quadratic Term_16_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998252b80>>
Square Root with Quadratic Term_16_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998360790>>
Square Root with Quadratic Term_16_108,25,tensor(0.),0
Square Root with Quadratic Term_16_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980c4160>>
Square Root with Quadratic Term_16_110,3*x + cos(x),tensor(0.0876),-107.57530814085517
Square Root with Quadratic Term_16_111,x*(x + log(4)) + x,tensor(0.0811),-127.25461876879154
Square Root with Quadratic Term_16_112,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980c47c0>>
Square Root with Quadratic Term_16_113,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998135220>>
Square Root with Quadratic Term_16_114,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980c48b0>>
Square Root with Quadratic Term_16_115,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699013b0d0>>
Square Root with Quadratic Term_16_116,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699013b550>>
Square Root with Quadratic Term_16_117,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc135310>>
Square Root with Quadratic Term_16_118,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981f2700>>
Square Root with Quadratic Term_16_119,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc135d60>>
Square Root with Quadratic Term_16_120,-2*x**2,tensor(0.0683),-184.8197657883644
Square Root with Quadratic Term_16_121,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68f815b6a0>>
Square Root with Quadratic Term_16_122,x**2 + x + tan(x),tensor(0.0819),-124.66353311642865
Square Root with Quadratic Term_16_123,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699803b880>>
Square Root with Quadratic Term_16_124,x/(x**3 + x),tensor(0.1146),-58.702566935249585
Square Root with Quadratic Term_16_125,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc135f70>>
Square Root with Quadratic Term_16_126,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69901af370>>
Square Root with Quadratic Term_16_127,x + 20/x,tensor(0.0005),-4374864.387826561
Square Root with Quadratic Term_17_0,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016a610>>
Square Root with Quadratic Term_17_1,(x + 1)/x,tensor(0.0095),-10950.236105766979
Square Root with Quadratic Term_17_2,x + 9*exp(x),tensor(0.0242),-1626.0960629442227
Square Root with Quadratic Term_17_3,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68cc05aeb0>>
Square Root with Quadratic Term_17_4,x**3*log(2)/3,tensor(0.0841),-117.743571411838
Square Root with Quadratic Term_17_5,x*(x*log(x) + 2*x),tensor(0.),0
Square Root with Quadratic Term_17_6,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6928133340>>
Square Root with Quadratic Term_17_7,-5*x**2 + x,tensor(0.0511),-344.13621781359274
Square Root with Quadratic Term_17_8,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f5100>>
Square Root with Quadratic Term_17_9,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5d3a90>>
Square Root with Quadratic Term_17_10,-4*sinh(x),tensor(0.0634),-216.89436619831994
Square Root with Quadratic Term_17_11,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990171490>>
Square Root with Quadratic Term_17_12,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016a430>>
Square Root with Quadratic Term_17_13,log(6*x**2),tensor(0.0646),-208.63996244295586
Square Root with Quadratic Term_17_14,x**5/5 + x,tensor(0.0817),-125.4901761351599
Square Root with Quadratic Term_17_15,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998220e50>>
Square Root with Quadratic Term_17_16,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f439a0>>
Square Root with Quadratic Term_17_17,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43e50>>
Square Root with Quadratic Term_17_18,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f43a00>>
Square Root with Quadratic Term_17_19,x*(x**4 + x) + x,tensor(0.0879),-106.6625066615215
Square Root with Quadratic Term_17_20,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc547e80>>
Square Root with Quadratic Term_17_21,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5478b0>>
Square Root with Quadratic Term_17_22,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc547f40>>
Square Root with Quadratic Term_17_23,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc547a90>>
Square Root with Quadratic Term_17_24,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981508e0>>
Square Root with Quadratic Term_17_25,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998150070>>
Square Root with Quadratic Term_17_26,-x*sin(1),tensor(0.0833),-119.95749064971773
Square Root with Quadratic Term_17_27,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699803bdc0>>
Square Root with Quadratic Term_17_28,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998150310>>
Square Root with Quadratic Term_17_29,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998150a90>>
Square Root with Quadratic Term_17_30,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69981507c0>>
Square Root with Quadratic Term_17_31,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699820f970>>
Square Root with Quadratic Term_17_32,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699820f580>>
Square Root with Quadratic Term_17_33,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699812fdf0>>
Square Root with Quadratic Term_17_34,x**2*sin(1),tensor(0.0918),-96.88588681873007
Square Root with Quadratic Term_17_35,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930114220>>
Square Root with Quadratic Term_17_36,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301146d0>>
Square Root with Quadratic Term_17_37,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930114490>>
Square Root with Quadratic Term_17_38,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301145e0>>
Square Root with Quadratic Term_17_39,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930114340>>
Square Root with Quadratic Term_17_40,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301147f0>>
Square Root with Quadratic Term_17_41,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930114ac0>>
Square Root with Quadratic Term_17_42,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930114880>>
Square Root with Quadratic Term_17_43,x*log(x) - 2*x,tensor(0.),0
Square Root with Quadratic Term_17_44,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699013b310>>
Square Root with Quadratic Term_17_45,acosh(x + 4),tensor(0.2569),-7.367949180261139
Square Root with Quadratic Term_17_46,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69301ec730>>
Square Root with Quadratic Term_17_47,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc532130>>
Square Root with Quadratic Term_17_48,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5d4310>>
Square Root with Quadratic Term_17_49,x**3*(x + 4),tensor(0.0767),-143.72606219171564
Square Root with Quadratic Term_17_50,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982202e0>>
Square Root with Quadratic Term_17_51,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1cbd90>>
Square Root with Quadratic Term_17_52,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc1cb9d0>>
Square Root with Quadratic Term_17_53,x*log(x)/6,tensor(0.),0
Square Root with Quadratic Term_17_54,1,tensor(0.),0
Square Root with Quadratic Term_17_55,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc63a2e0>>
Square Root with Quadratic Term_17_56,x*sin(2) + x,tensor(0.0776),-140.1630350433203
Square Root with Quadratic Term_17_57,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc532040>>
Square Root with Quadratic Term_17_58,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998360850>>
Square Root with Quadratic Term_17_59,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f7970>>
Square Root with Quadratic Term_17_60,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f7280>>
Square Root with Quadratic Term_17_61,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982b49d0>>
Square Root with Quadratic Term_17_62,log(x) + 4,tensor(0.),0
Square Root with Quadratic Term_17_63,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e00139d0>>
Square Root with Quadratic Term_17_64,5*x**2*tan(1)/2,tensor(0.1123),-61.50885189298282
Square Root with Quadratic Term_17_65,3*asin(x),tensor(0.0673),-191.04141617127624
Square Root with Quadratic Term_17_66,x*(x + sin(x) + 1),tensor(0.0981),-83.58578713890658
Square Root with Quadratic Term_17_67,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998220cd0>>
Square Root with Quadratic Term_17_68,x*sin(x + 2),tensor(0.0799),-131.5246933656829
Square Root with Quadratic Term_17_69,2*x + cos(x),tensor(0.1004),-79.27820550637891
Square Root with Quadratic Term_17_70,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0087a60>>
Square Root with Quadratic Term_17_71,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc64b580>>
Square Root with Quadratic Term_17_72,8*x**9/9,tensor(0.0839),-118.34201111545188
Square Root with Quadratic Term_17_73,acosh(x + 2),tensor(0.1385),-37.66202267786538
Square Root with Quadratic Term_17_74,x**2 + x*(x + 4),tensor(0.0718),-166.3158224614485
Square Root with Quadratic Term_17_75,2*x + 4,tensor(0.1271),-46.18893858853857
Square Root with Quadratic Term_17_76,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68b2f7efd0>>
Square Root with Quadratic Term_17_77,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6990043430>>
Square Root with Quadratic Term_17_78,5*x**2 + 1/5,tensor(0.1152),-58.0117659949663
Square Root with Quadratic Term_17_79,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc15e670>>
Square Root with Quadratic Term_17_80,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980f5040>>
Square Root with Quadratic Term_17_81,sin(x),tensor(0.0823),-123.22604002212731
Square Root with Quadratic Term_17_82,-x*asin(x),tensor(0.0744),-153.98901268021388
Square Root with Quadratic Term_17_83,5*cosh(x),tensor(0.0695),-178.0814573158416
Square Root with Quadratic Term_17_84,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016aee0>>
Square Root with Quadratic Term_17_85,-2*x + 2*log(x),tensor(0.),0
Square Root with Quadratic Term_17_86,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016aaf0>>
Square Root with Quadratic Term_17_87,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f699016a820>>
Square Root with Quadratic Term_17_88,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0068640>>
Square Root with Quadratic Term_17_89,x**3/3 + x,tensor(0.0812),-127.1413463896383
Square Root with Quadratic Term_17_90,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0068a00>>
Square Root with Quadratic Term_17_91,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69581d1970>>
Square Root with Quadratic Term_17_92,-log(cos(x)),tensor(0.0892),-103.28035063869058
Square Root with Quadratic Term_17_93,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998251880>>
Square Root with Quadratic Term_17_94,x + 2/x,tensor(0.0048),-43836.65014639273
Square Root with Quadratic Term_17_95,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc135490>>
Square Root with Quadratic Term_17_96,x**5/25,tensor(0.0842),-117.4265064530475
Square Root with Quadratic Term_17_97,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68e0068a30>>
Square Root with Quadratic Term_17_98,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930114580>>
Square Root with Quadratic Term_17_99,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6930114df0>>
Square Root with Quadratic Term_17_100,log(2)/x,tensor(0.0135),-5336.898319950017
Square Root with Quadratic Term_17_101,x**5 + log(x),tensor(0.),0
Square Root with Quadratic Term_17_102,(x - 5)/x,tensor(0.0019),-273664.6043908482
Square Root with Quadratic Term_17_103,2 - cos(x),tensor(0.1354),-39.80923008777092
Square Root with Quadratic Term_17_104,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69980c4460>>
Square Root with Quadratic Term_17_105,2*x + log(2),tensor(0.0953),-89.07049353098881
Square Root with Quadratic Term_17_106,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f69982491f0>>
Square Root with Quadratic Term_17_107,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc4896a0>>
Square Root with Quadratic Term_17_108,8*x**2 + x,tensor(0.0852),-114.31397493741943
Square Root with Quadratic Term_17_109,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc5d3550>>
Square Root with Quadratic Term_17_110,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f6998300700>>
Square Root with Quadratic Term_17_111,None,tensor(0.),<bound method Expression.r2 of <Expression.Expression object at 0x7f68bc532c40>>
